#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4260.810875826714     All      -0.39578131062615984       0.25001171344909423        -0.10329043815864303       0.20574665604153747        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4654.536736856855     All      -0.30614291747029865       0.3898234097020392         0.11014648669357419        0.23161446118871581        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6025.079845632652     All      0.8198197384839337         -0.004900316115374892      -0.020988016151030076      -0.2695750530332247        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3482.0374807225094    All      -0.16016646466699458       0.0622501208877857         -0.01852847597288987       0.07162155841905354        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5258.485093028691     All      0.11899941185307336        0.04876650498939483        -0.059148747657067346      -0.025516705307067344      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6073.022765796839     All      0.26414195983802385        -0.007509147276962835      -0.07028312954388549       -0.09162211591612346       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5204.923335272153     All      0.38703543667336543        0.20431857971487943        -0.043998821868768134      -0.06148035685814568       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7366.58268555632      All      0.2913049708462313         -0.027036471871610956      0.11980256291999059        -0.09834804286573406       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4247.645798675109     All      -0.12209943047694564       0.08155253278738783        0.01268367319592345        0.06690215846650652        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7393.846639092022     All      0.12524630076353682        -0.011404372999468393      0.060124082560586434       -0.04182855845348693       
Check         All|All|All                                All                   All      1.022357695217766          0.9858725532671642         -0.013480823982209289      -0.012485998317968844      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4260.810875826714     All      -0.00018121984376891513    5.267901010607404e-05      -0.0004115745504942647     5.782186985578988e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4654.536736856855     All      -0.00010795952301430835    -7.77091334658442e-05      -0.0008389600440346243     -2.7585386476963968e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6025.079845632652     All      -0.00017090166184722386    -2.233515205240358e-05     -0.0004961116510150637     2.625381550676109e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3482.0374807225094    All      -0.00028626865242181504    7.827673781344784e-05      -0.00023367776822383741    0.00010831646123407074     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5258.485093028691     All      3.726568107191671e-05      6.084569715289834e-06      -0.000194090300836658      -1.8818072498778186e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6073.022765796839     All      -3.849369959335887e-05     -3.005970183747407e-06     -2.1428069966166784e-05    1.0603284633305086e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5204.923335272153     All      4.9833785713096374e-05     2.9933886543032223e-05     -0.000519399474337366      -2.966046487110205e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7366.58268555632      All      -9.974316675595568e-05     -1.2189416054823068e-06    -0.00021078768878298493    2.2686095044692e-05        
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4247.645798675109     All      -6.619656742202519e-05     2.3341044866201993e-05     -0.00010793282375432603    2.4348799815597566e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7393.846639092022     All      -4.126719094906819e-05     2.4449276445270565e-06     -3.090241839116888e-05     1.2859442108796455e-05     
MWEBV         All|All|All                                All                   All      -0.9944517164741069        -3.8758360594294494        0.02388497727934258        -0.9374957983935089        
Redshift      All|All|All                                All                   All      6.284784498559641          0.8821690270103488         9.688191855239332          -1.3274700936096104        
