#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4344.870916216532     All      -1.8549381937206562       0.45403072122969235       -1.9593465000575683       0.6646705030757205        
Zeropoint     AB|MEGACAMPSF|g           3397.5368157917846    All      -0.285141465810784        0.17415849999675714       0.46288456194685246       0.17026552143135504       
Zeropoint     AB|MEGACAMPSF|i           5320.236279158258     All      3.140995196016747         0.37680185200397176       1.4986318770739415        -0.8335116536982559       
Check         All|All|All               All                   All      1.0009155364853064        1.0049910732304213        0.002169938963225704      0.0014243708088197415     
Lambda        AB|MEGACAMPSF|r           4344.870916216532     All      -0.0003060372552850149    -0.000159415727822226     -0.001948149014432702     -3.917748778973656e-05    
Lambda        AB|MEGACAMPSF|g           3397.5368157917846    All      -0.0007764876403809347    0.00044567149445772067    0.0011207620296803077     0.00044811189996900894    
Lambda        AB|MEGACAMPSF|i           5320.236279158258     All      0.0008531348422327864     -1.423020818422266e-05    -0.0009065640670740722    -0.0003229851229987482    
MWEBV         All|All|All               All                   All      -0.24039972738409876      -2.466000245808253        0.21785601062522808       -0.715229395755211        
Redshift      All|All|All               All                   All      -2.4396640225613284       -0.37870380278128835      -8.264993937588393        0.30249382746919545       
