#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6123.588842691577     All      1.1979668345405763         -0.07334312137352583      0.01972502803844452        -0.4132272400888714        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3538.9681818477725    All      -0.28206445122591417       0.11494364978190674       -0.036712391096993445      0.12768029427606933        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4730.637594848646     All      -0.22730595792611907       0.4657082074865926        0.19451116494586718        0.23441765309781615        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7487.02501838811      All      0.37181899813273           -0.07234640823501337      0.19319530011225433        -0.13605786653171484       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5290.022917462406     All      0.4104372927739135         0.29764712629685164       -0.23769714460646682       -0.04734679976812634       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4330.4743851559215    All      -0.47684148307630747       0.26520833385443865       -0.13203314139737668       0.23581800539391062        
Check         All|All|All                              All                   All      0.9940112332188789         0.9978177878112504        0.0009888159957290865      0.0012840463790835532      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6123.588842691577     All      -0.00021956861631404825    9.477412037506381e-05     -0.0008545742464026646     6.425604720910326e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3538.9681818477725    All      -0.0007006322485681915     0.0002546220005216203     -0.00020260595791208802    0.00030211636249376407     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4730.637594848646     All      -0.0001558129301782168     -6.850607309556324e-05    -0.0008871321430073806     -1.114991742975817e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7487.02501838811      All      -7.074411038204542e-05     2.4383120429280226e-05    -0.0002702835472164536     1.8924555323345766e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5290.022917462406     All      0.00017096387137979826     0.0001331008622723905     -0.0007431774160581167     -4.5497822510543895e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4330.4743851559215    All      -0.0003363164012448015     0.0001150682934643021     -0.0005290942389638411     0.00012341979933910664     
MWEBV         All|All|All                              All                   All      -1.0318667068197795        -3.963471271491059        0.006694891759854772       -0.9546212913681368        
Redshift      All|All|All                              All                   All      8.161444937492307          -1.1958586272392324       11.717769610302172         -2.5250713772378313        
