#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6123.588842691577     All      1.2780788991800622         -0.1562775249781545        0.055932982599404824       -0.4647210441505206       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3538.9681818477725    All      -0.32784283592366203       0.13462941059643185        -0.0060824158585326416     0.1503709952923371        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4730.637594848646     All      -0.23783503672388318       0.4564783778379322         0.4983147330481108         0.24839821921479044       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7487.02501838811      All      0.37357007763387273        -0.07693647739159815       0.09344215424784696        -0.1425749120174319       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5290.022917462406     All      0.39250734331823106        0.4056966816222918         -0.41517053680579785       -0.014230952846362721     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4330.4743851559215    All      -0.47631078563721674       0.22965978886819727        -0.23144400684322886       0.21962955881690283       
Check         All|All|All                              All                   All      1.002167661847404          0.9932502565551005         -0.005007089612196758      -0.003128135690284861     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6123.588842691577     All      -2.2048826576735744e-05    3.410239761937226e-05      -8.044475878684547e-05     1.4700420925833934e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3538.9681818477725    All      -0.0005259758782914879     9.181064935122468e-05      7.09596694960371e-05       0.00020440000076992496    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4730.637594848646     All      5.641424801856962e-06      -0.00023923054240776977    -0.00039900914129541664    -9.756880116192144e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7487.02501838811      All      -2.3182333215729148e-05    4.319000064478107e-06      -0.00011439404973673761    3.853207969470424e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5290.022917462406     All      0.00022040927125466036     7.09045669006196e-05       -0.0008095873581822605     -8.48267662622184e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4330.4743851559215    All      -0.00040407298633080723    6.960173452990066e-05      -0.0007758710459049066     0.00011966787868786179    
MWEBV         All|All|All                              All                   All      -1.0297823627849123        -3.9624752476165703        -0.04616898433911221       -0.9573348650443375       
Redshift      All|All|All                              All                   All      6.404838320648965          0.16642051615818332        6.938384193380331          -1.722429697067647        
