#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            8354.039680522743    All      0.2504090096466183        -0.0982326207378259        0.13237874854966636        -0.10765659343099018       
Zeropoint     AB|SDSS|SDSS_i            7026.598324887994    All      0.8071932082735183        -0.24924836530701988       0.2354663210879404         -0.3336099959581402        
Zeropoint     AB|SDSS|SDSS_g            4434.294561931611    All      -0.8505756976057834       1.0754877627602077         0.5547291075042038         0.6521372469361782         
Zeropoint     AB|SDSS|SDSS_r            5794.297389563622    All      0.8293644670433722        0.15760703218925531        -0.9758255626574286        -0.2623601097518517        
Check         All|All|All               All                  All      1.0363909873577255        0.8856138089046173         -0.05325138551561803       -0.05148945220480389       
Lambda        AB|SDSS|SDSS_z            8354.039680522743    All      2.6212055828071996e-05    -0.0001384097881983657     -9.02025645823488e-05      -5.7648076669126866e-05    
Lambda        AB|SDSS|SDSS_i            7026.598324887994    All      -0.0003558004432201666    -0.00012354440556382475    -0.00045777385351632806    5.522508785817751e-05      
Lambda        AB|SDSS|SDSS_g            4434.294561931611    All      -0.0006249573917025047    0.00013998936013876227     -0.0006770033640577513     0.00021895677230141859     
Lambda        AB|SDSS|SDSS_r            5794.297389563622    All      8.33740833975685e-06      4.3827188110021814e-05     0.0005559609736983071      3.6370173670010765e-05     
MWEBV         All|All|All               All                  All      -0.5800981156415586       -4.12056115945969          -0.11032282312162245       -1.15816849204749          
Redshift      All|All|All               All                  All      6.929832446440271         -2.0504854481036006        2.27125619475812           -2.8238292494664528        
