#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            8354.039680522743    All      0.26116131964398254       -0.04486817734097315      0.12999836323866462        -0.09388264534894418       
Zeropoint     AB|SDSS|SDSS_i            7026.598324887994    All      0.7917646933979644        -0.132316037898228        0.2169293890218643         -0.2913229332248199        
Zeropoint     AB|SDSS|SDSS_g            4434.294561931611    All      -1.0115741472647697       0.9449608212939609        0.05385568630913849        0.639711139277877          
Zeropoint     AB|SDSS|SDSS_r            5794.297389563622    All      0.9576618512295123        0.23108068621757738       -0.39982891971343437       -0.2545139175937054        
Check         All|All|All               All                  All      0.9990137170066898        0.9988572922723371        0.0009545188562330442      -8.356889592442407e-06     
Lambda        AB|SDSS|SDSS_z            8354.039680522743    All      1.8603661157071597e-05    -5.103439756640346e-06    6.954963814054668e-06      -7.4118146160216455e-06    
Lambda        AB|SDSS|SDSS_i            7026.598324887994    All      -0.0005174631102750822    1.8033944402308785e-05    -0.0008033051431440408     0.00013858118894679393     
Lambda        AB|SDSS|SDSS_g            4434.294561931611    All      -0.0005651705836413453    0.0002140000635493246     -0.0011376954874637011     0.00020303138938375986     
Lambda        AB|SDSS|SDSS_r            5794.297389563622    All      -0.0003053969788583383    -5.178830396557577e-05    -0.00023608645024073794    7.207323492175291e-05      
MWEBV         All|All|All               All                  All      -0.6665897137771188       -3.83541742998883         0.04098311861201722        -1.0303625501504445        
Redshift      All|All|All               All                  All      7.524959624628991         0.61461874954718          7.263061489193634          -1.926808290248301         
