#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6307.798463815656     All      1.2719182364645951         -0.11663870331943826     0.017691477714032455      -0.4515091880577235       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4336.2969518663385    All      -1.1508463888511953        0.7703626394521379       -0.07081083323018378      0.6226410241533544        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5317.081224170408     All      0.4645413553834473         0.42230486978294124      -0.1803380209271066       -0.021805470510592728     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7819.317594817401     All      0.4126720718329274         -0.07778070700252826     0.2351935585333753        -0.14926099717146035      
Check         All|All|All                       All                   All      0.9982852748297747         0.9982480989131126       0.0017361820901173886     6.536841357784873e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6307.798463815656     All      -0.0005095041618744345     9.891615485802894e-06    -0.0008116477980019251    0.00013296417883842788    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4336.2969518663385    All      -0.00020702091172386956    2.908276275977065e-05    -0.0005186068994810514    5.376369031098898e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5317.081224170408     All      -5.358408524331045e-05     2.169937401780722e-05    -0.0012507300874709897    -3.12920399747257e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7819.317594817401     All      -1.098568387138683e-05     9.352820860906308e-06    0.00010510079761866124    1.1315085995455939e-05    
MWEBV         All|All|All                       All                   All      -0.8347636016054096        -4.012396301820242       0.05150751101877793       -1.032760967819303        
Redshift      All|All|All                       All                   All      3.584194877293099          0.46415848042675734      0.44696206765862945       -0.9963526363508501       
