#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6307.798463815656     All      1.2623911947278088         -0.13057537600413838      -0.08076911586227409      -0.457339394008169        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4336.2969518663385    All      -1.095709133114643         0.7632906749500457        -0.003542814368786278     0.6053792972300212        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5317.081224170408     All      0.42266286001017955        0.44706410461436974       -0.1360068747135255       0.001878925983204307      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7819.317594817401     All      0.4089299226387828         -0.08163614133174235      0.2217602325241926        -0.14989736550967778      
Check         All|All|All                       All                   All      0.9982748442621282         0.9981432622285347        0.0014414275796067466     2.146369537869841e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6307.798463815656     All      -0.0004335035619835156     8.897174440022355e-06     -0.0007139854068588479    0.0001122425849133146     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4336.2969518663385    All      -0.0003147634147638619     0.00013115968351691158    -0.0003975818467375715    0.00012750957175170234    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5317.081224170408     All      -1.3445106119454936e-05    7.584091062251975e-05     -0.0010578704058229328    -1.812450451327919e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7819.317594817401     All      -1.6615365970407756e-05    9.387743379813867e-06     8.767818271728113e-05     1.238274279559907e-05     
MWEBV         All|All|All                       All                   All      -0.8250512323927977        -4.018243828850565        0.03685151083573657       -1.0384833679066032       
Redshift      All|All|All                       All                   All      3.346824850603529          -0.19106101263757225      -0.617507601276786        -1.179962346780463        
