#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7525.789064538124    All      0.5450647409625571        -0.11006558419408563      0.48970126465021635        -0.19154438172624202       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4323.444596847364    All      -0.9933465914089423       0.7972208483771226        0.47153568724992434        0.6042891950942361         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6181.395226387532    All      1.2525414609670256        -0.1757327123543817       -0.3460948389302887        -0.48068051018073515       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5352.322213436098    All      0.19315789439280875       0.4875797462526421        -0.6076374569036758        0.06878681441825074        
Check         All|All|All                                All                  All      0.9974175049134488        0.9990022980812974        0.00750465606617623        0.0008511176055096548      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7525.789064538124    All      -8.999679000773196e-05    4.790961985720772e-06     -0.00023053759655557277    2.058765513528966e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4323.444596847364    All      -0.0006256657009285765    0.00041253976057575306    -0.0002068048450708862     0.0003289489243418952      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6181.395226387532    All      -8.929176152311775e-05    -3.632572364277171e-05    -0.0006849226717286237     -1.3312172034682548e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5352.322213436098    All      5.333525572460664e-05     0.0001856406064040543     -0.0011233220733986842     -7.0324994710658326e-06    
MWEBV         All|All|All                                All                  All      -0.8522077755651529       -4.033688785940992        0.10313558274844814        -1.0317105653222483        
Redshift      All|All|All                                All                  All      4.7137690853979075        -0.40331768126282697      -0.1777472526082957        -1.674735550575919         
