#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7525.789064538124    All      0.49638856797237646       -0.10434431437387204       0.3474992926253502         -0.1801711658816207       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4323.444596847364    All      -1.0302700957095818       0.7640810759881767         0.09548992988284394        0.5887404860233577        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6181.395226387532    All      1.2441731016067057        -0.15336123511850985       -0.15427067870569453       -0.46210730283644813      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5352.322213436098    All      0.2866254498751188        0.4923170738754479         -0.28590977584184646       0.05424168883061763       
Check         All|All|All                                All                  All      0.9969170237446191        0.9986926003712426         0.002808767960653158       0.0007037061359065275     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7525.789064538124    All      -8.02727264752159e-05     7.68911277283905e-06       -0.00016201992251824878    2.1421859890245885e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4323.444596847364    All      -0.0006194279604978981    0.00037585322073958774     -0.00039894350657134045    0.00030639280809029715    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6181.395226387532    All      -7.736266396091042e-05    -2.6874903773790334e-05    -0.0004980670903487749     -5.78092221194205e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5352.322213436098    All      6.288005549922914e-05     0.00017567003954754837     -0.0009390792849697404     -5.167386968252511e-06    
MWEBV         All|All|All                                All                  All      -0.8599454024359332       -4.0337920162244245        0.061959757473938386       -1.0310612791578377       
Redshift      All|All|All                                All                  All      4.870733496763416         -0.21328259297632712       -0.10624399069924773       -1.6607724809334006       
