#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5481.473951512977    All      1.0848999971799311      0.9614733600990188       -0.0005708728407771702    -0.040229591745960525    
Check         All|All|All                           All                  All      1.0848999971799311      0.9614733600990188       -0.0005708728407771702    -0.040229591745960525    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5481.473951512977    All      0.019880398455509124    -0.009543993399071946    7.91052615336314e-05      -0.009580962356270673    
MWEBV         All|All|All                           All                  All      -0.9669069110208639     -4.101061923432914       -0.0070335618555184       -1.0212112737414514      
Redshift      All|All|All                           All                  All      -55.21647396339503      27.315505727065002       -0.6850783104057179       26.85280910812197        
