#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                 ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5481.473951512977    All      1.0024153922858356      0.9988776140018807     0.0004658425779874491    -0.0011315823618145405    
Check         All|All|All                           All                  All      1.0024153922858356      0.9988776140018807     0.0004658425779874491    -0.0011315823618145405    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5481.473951512977    All      0.019740677180653296    -0.0094783855944698    4.075420713936285e-05    -0.009515791351382738     
MWEBV         All|All|All                           All                  All      -1.0692832667757273     -4.054425299703546     -0.01106570577695005     -0.9728527800062738       
Redshift      All|All|All                           All                  All      -92.36704389383172      42.6009871986122       -7.783651011711553       43.6161794475047          
