#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4346.259579295122    All      -0.36753340128301615       0.7741684176570729         -1.7943411111270278        0.29181664062400203       
Zeropoint     AB|SDSS|SDSS_r            5679.261984730551    All      0.39852488107370176        0.4743301215027529         -3.951713027690899         -0.15165454213830687      
Zeropoint     AB|SDSS|SDSS_u            3305.271950342948    All      -0.19691269693320426       0.0037062384732777787      1.578621201769955          0.13579480131888141       
Zeropoint     AB|SDSS|SDSS_i            6887.097790386823    All      1.0069631972751667         -0.10047661727305979       2.5720964821847248         -0.24594872849801933      
Zeropoint     AB|SDSS|SDSS_z            8188.185173577452    All      0.17151783744625582        -0.13849992450705173       1.6389354477639242         -0.027844822674153065     
Check         All|All|All               All                  All      1.012559817578904          1.013228235852992          0.04359899290067748        0.0021633486324042148     
Lambda        AB|SDSS|SDSS_g            4346.259579295122    All      -2.4094856476511854e-05    6.18386232157124e-05       -0.00012238418525287826    2.2529917365661212e-05    
Lambda        AB|SDSS|SDSS_r            5679.261984730551    All      -5.724864146432212e-05     -7.415575816857024e-05     0.0008435796258452209      3.213788014219777e-05     
Lambda        AB|SDSS|SDSS_u            3305.271950342948    All      -0.0001357265842383056     -1.4688449435937186e-05    0.0010997016330143695      8.850073567600556e-05     
Lambda        AB|SDSS|SDSS_i            6887.097790386823    All      -0.0003911622919626635     9.848058069817702e-06      -0.0009260564476337913     8.929661781975629e-05     
Lambda        AB|SDSS|SDSS_z            8188.185173577452    All      -5.2917840394186636e-05    5.853968882288587e-05      -0.0006266615367402454     8.340357877413318e-06     
MWEBV         All|All|All               All                  All      -0.88057324031913          -3.744394031641818         2.3390377448709874         -0.8284601368975122       
Redshift      All|All|All               All                  All      4.469088766665461          -0.11255371645830792       -4.119933565184433         -1.6762454011576666       
