#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3316.0657333802187    All      -0.2024356705642426        0.23062453156104112       1.1519428307512403         0.1924678729440403        
Zeropoint     AB|SDSS|SDSS_r            5697.808332079865     All      0.6759493444865714         0.22106482253168025       -1.6101509342169695        -0.22002449509531466      
Zeropoint     AB|SDSS|SDSS_i            6909.588478119247     All      0.855160273392089          0.0958826486183284        1.6340325391300814         -0.17440233449932882      
Zeropoint     AB|SDSS|SDSS_g            4360.45283892016      All      -0.5140685481154993        0.43808235220375025       -1.5427146893196908        0.2413026019161081        
Zeropoint     AB|SDSS|SDSS_z            8214.924726497877     All      0.17583683384980867        0.01236842794885007       0.38943892500612476        -0.03586816715801938      
Check         All|All|All               All                   All      0.9904422330487272         0.9980227828636501        0.022548671350786087       0.0034754781074855523     
Lambda        AB|SDSS|SDSS_u            3316.0657333802187    All      -0.0001288650363212607     0.00011854133626626325    0.00044486981114773744     0.00010044089143803387    
Lambda        AB|SDSS|SDSS_r            5697.808332079865     All      -0.0001860151186897621     -7.224677528503472e-05    0.0004805512401065342      5.850288706818325e-05     
Lambda        AB|SDSS|SDSS_i            6909.588478119247     All      -0.0005681178006151013     -5.674481529414016e-05    -0.0008780155618362583     0.0001273892030454051     
Lambda        AB|SDSS|SDSS_g            4360.45283892016      All      -0.00011722884300039376    5.8650185129125025e-05    -0.0006350991277613398     2.8948028542741116e-05    
Lambda        AB|SDSS|SDSS_z            8214.924726497877     All      -2.455026505398816e-05     -6.265105178825208e-07    -4.5412744359915263e-05    5.7661917129632725e-06    
MWEBV         All|All|All               All                   All      -0.9245749950473163        -3.4990816125972657       1.0170730430324015         -0.7932142054249219       
Redshift      All|All|All               All                   All      6.8782755696850835         1.0919999129596292        -4.4915122609450515        -2.085215907646556        
