#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5801.315488335951     All      1.14910716050025           0.15318276990274882        -0.19714504113479414      -0.33320301668826324      
Zeropoint     AB|SDSS|SDSS_z            6897.280525788736     All      0.17982196667756004        0.024351578108294802       0.23151611295992858       -0.04031031957451303      
Zeropoint     AB|SDSS|SDSS_g            3661.0519817052154    All      -0.969211996087458         0.35987927701626177        -0.3998847786100157       0.41508373238897317       
Zeropoint     AB|SDSS|SDSS_r            4783.900492936721     All      0.6386717268695016         0.46082103421944964        0.3711599567135515        -0.041368657518011526     
Check         All|All|All               All                   All      0.9983888579598538         0.998234659246755          0.005646249928670244      0.00020173860818537004    
Lambda        AB|SDSS|SDSS_i            5801.315488335951     All      -0.00040320777222613627    -6.968266657119051e-05     3.594952649859039e-05     0.00011024436181930054    
Lambda        AB|SDSS|SDSS_z            6897.280525788736     All      -0.00012942477966057351    -1.9722060405135563e-05    -0.0001537219646740263    2.8873879509803368e-05    
Lambda        AB|SDSS|SDSS_g            3661.0519817052154    All      -0.0016359329561787394     0.0006348251893700727      -0.0006294293055696653    0.0007115720946859179     
Lambda        AB|SDSS|SDSS_r            4783.900492936721     All      -0.00012481293377406021    8.466770419654177e-06      -0.0006345084150007458    1.5098388058179874e-05    
MWEBV         All|All|All               All                   All      -0.5658659614125354        -2.8793492988786085        0.04514334875871384       -0.7515630940345699       
Redshift      All|All|All               All                   All      5.934830970331361          -1.1320307897857873        -1.045523247454394        -2.3485662687356355       
