#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5801.315488335951     All      1.1780276713341138         0.16953894411173565        0.005619021075148007       -0.32824720564660675       
Zeropoint     AB|SDSS|SDSS_z            6897.280525788736     All      0.16293744420079986        0.028834403569000244       0.278284057635949          -0.03126323281292333       
Zeropoint     AB|SDSS|SDSS_g            3661.0519817052154    All      -1.0737866818745352        0.3912063352307982         -0.13474963621982608       0.4711831651280838         
Zeropoint     AB|SDSS|SDSS_r            4783.900492936721     All      0.7309935571988182         0.40940453190714265        -0.1439216481163578        -0.11117468764938651       
Check         All|All|All               All                   All      0.9981719908591966         0.9989842148186767         0.005231794374913112       0.0004980390191672013      
Lambda        AB|SDSS|SDSS_i            5801.315488335951     All      -0.00028209557805179865    -4.075498160304299e-05     4.900567835863166e-05      8.079947048335121e-05      
Lambda        AB|SDSS|SDSS_z            6897.280525788736     All      -8.529324761951884e-05     -1.5332166604640828e-05    -0.00014679900680432086    1.623766028751989e-05      
Lambda        AB|SDSS|SDSS_g            3661.0519817052154    All      -0.00197994986427361       0.00046675462091460505     -0.0024040335202382807     0.0006896911703308047      
Lambda        AB|SDSS|SDSS_r            4783.900492936721     All      -0.00011967459931897789    -4.6713342431063903e-05    -0.0007688007989425982     -1.0542166960007163e-05    
MWEBV         All|All|All               All                   All      -0.5512395361440636        -2.8715864457982576        0.19663099928740316        -0.7470385872155766        
Redshift      All|All|All               All                   All      5.461244636270097          -0.6604601132439214        0.11296434351270611        -1.9889995551963444        
