#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                6007.712852141205    All      1.1410366552996518         0.032489332103846635       -0.005407935296508626     -0.36133166460307065      
Zeropoint     AB|PS|PS_z                8362.636512530486    All      0.3812404884536316         -0.09748264941942253       0.16042150215537232       -0.14877700067679744      
Zeropoint     AB|PS|PS_i                7276.641394573813    All      0.7030613136215623         -0.1545494144487236        0.25323742998048515       -0.26805120526480763      
Zeropoint     AB|PS|PS_g                4730.735435002606    All      -1.240365363528093         1.2258942763642366         -0.4210598626768258       0.784551934431793         
Check         All|All|All               All                  All      0.9849730938467526         1.0063515445999371         -0.01280886583747698      0.006392063887117327      
Lambda        AB|PS|PS_r                6007.712852141205    All      1.790145750086967e-05      -8.43467727387663e-05      -0.0008561489093378845    -7.151160612994338e-05    
Lambda        AB|PS|PS_z                8362.636512530486    All      0.0002360399485804269      -6.926886890407521e-05     3.601963585919912e-05     -9.784173530025792e-05    
Lambda        AB|PS|PS_i                7276.641394573813    All      -0.00023093976183661245    -3.4062989101301074e-05    -0.0009307814379706724    2.2592741281214746e-05    
Lambda        AB|PS|PS_g                4730.735435002606    All      -0.00043186744863059584    0.00029952848418562754     -0.0005452121073973688    0.00021390940524520648    
MWEBV         All|All|All               All                  All      -0.7056431449912575        -3.995036720639611         0.017814867581311677      -1.07066870970349         
Redshift      All|All|All               All                  All      5.50315876519393           0.3012058316270938         9.173947960898465         -1.2850560465549665       
