#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6007.712852141205    All      1.2005051244081266         0.0039580866470600995      -0.2254028316880533       -0.39981342856753416       
Zeropoint     AB|PS|PS_z                8362.636512530486    All      0.3131503349623616         -0.07295482195726066       0.09006816856420755       -0.12174782339619736       
Zeropoint     AB|PS|PS_i                7276.641394573813    All      0.6145090103068722         -0.12054067123443701       0.16288302800543156       -0.232161142249044         
Zeropoint     AB|PS|PS_g                4730.735435002606    All      -1.1286471588363043        1.1884828027924677         -0.025681183898518298     0.7536194265259527         
Check         All|All|All               All                  All      0.9995173108410564         0.9989453962478301         0.0018671809830674985     -0.0001029676868228302     
Lambda        AB|PS|PS_r                6007.712852141205    All      -0.00017907553732223556    -4.733442757933694e-05     -0.0007642540851091821    8.80726387066472e-06       
Lambda        AB|PS|PS_z                8362.636512530486    All      0.00028456623585019797     -7.333101904843853e-05     4.9634577366472224e-05    -0.00011436394716593805    
Lambda        AB|PS|PS_i                7276.641394573813    All      -0.00018864308079104476    -2.3110065459719575e-05    -0.0006601872456270464    2.4458424325869647e-05     
Lambda        AB|PS|PS_g                4730.735435002606    All      -0.00023669839878455215    2.6817576983824045e-05     -0.0008147308136836618    4.9478128434434694e-05     
MWEBV         All|All|All               All                  All      -0.6952468441318693        -3.99178943536338          0.03229995708279017       -1.0723509762577097        
Redshift      All|All|All               All                  All      5.674086803787743          1.2981373332665136         9.269634315120383         -1.0117295014168526        
