#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7245.326855986669    All      0.07382965710133785        -0.0038584751391290695     0.06245862444522743        -0.02251833898744976       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5271.803447047321    All      2.0416504933276145         0.21171624065541295        2.387660173258177          -0.48951948173805576       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4529.381137702309    All      -1.0200978877567286        0.41649098523928174        -1.2893304415018347        0.41040736238119185        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4206.725614254411    All      -1.1827753148509166        0.48936907789558504        -0.09682333043835589       0.5403516600900479         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5970.718956913262    All      1.0851995868671            -0.1153904137951578        -1.0522647336936308        -0.4380294036411353        
Check         All|All|All                      All                  All      0.9978065346884071         0.9983274148559929         0.011700292069583007       0.0006917981045989063      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7245.326855986669    All      -1.768033771290958e-05     4.700802574604911e-07      -2.1145531202763154e-05    4.968560324296913e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5271.803447047321    All      0.0007674473907452475      4.893354760683494e-05      0.00091192414380875        -0.00019334861089140512    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4529.381137702309    All      -0.0002470681379839652     1.9621092229713444e-06     -0.0010003975748574293     3.6474195261064726e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4206.725614254411    All      -0.00056105932200763       0.00016253317446864073     -0.00029195361248987394    0.00022266933275738048     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5970.718956913262    All      -0.00013644277204751833    -2.3075942093682693e-05    -0.0007138361335525171     5.072078064215238e-06      
MWEBV         All|All|All                      All                  All      -0.8420677229088196        -3.8978830543777043        0.06920762223503463        -0.9922911684764446        
Redshift      All|All|All                      All                  All      1.2453619828800275         -0.6483477521116221        -1.4084163590662446        -0.6796947153692917        
