#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7245.326855986669    All      0.041079802649992336       -0.0017611028242825455     0.029508164716480455      -0.01263787847169937       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5271.803447047321    All      2.1293038457568114         0.21565277353277068        2.2113367960475117        -0.524657306568577         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4529.381137702309    All      -0.9512515964783639        0.4258833638344228         -1.14790571545593         0.39735240302779296        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4206.725614254411    All      -1.0649653288818786        0.4596892081067061         0.08438124286193986       0.5003956896614562         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5970.718956913262    All      0.8446534124362309         -0.10145536372068165       -1.1763424133803941       -0.36067351361238653       
Check         All|All|All                      All                  All      0.998820135482792          0.9980088789289354         0.0009780747896077635     -0.00022060596341377803    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7245.326855986669    All      -1.1476269821701569e-05    5.073065265583049e-07      -8.111052044207583e-06    3.5414860645613797e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5271.803447047321    All      0.0004668778803125339      4.9801202155332126e-05     0.0005345439206696303     -0.00011200135538288679    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4529.381137702309    All      -0.000342400073174911      -2.0678354501103783e-05    -0.0011943079232148734    5.149887074702591e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4206.725614254411    All      -0.0002970705302239808     0.0001220601504145224      -2.957904822067555e-05    0.00013520467460334548     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5970.718956913262    All      -2.79954791942051e-05      -1.6511880508556297e-05    -0.0003063474111918583    -9.930292067633806e-06     
MWEBV         All|All|All                      All                  All      -0.8509600617071036        -3.8969498683768755        0.05186837228565822       -0.9898644428881554        
Redshift      All|All|All                      All                  All      1.1567971888895683         -0.397015800620526         -2.150624934772813        -0.6021005229882638        
