#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W          3533.2541080069936    All      -3.4207320450376035      -0.26661544198205434      -0.15774268958284737      1.0203602132191203        
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4115.058672637683     All      4.410443204500197        1.2662613561996494        0.15710567588618546       -1.017152563747277        
Check         All|All|All                  All                   All      0.9897111594625932       0.9996459142175951        -0.0006370136966619144    0.003207649471843377      
Lambda        VEGAHST|ACSWF|F775W          3533.2541080069936    All      -0.010818496662799201    -0.0010208868502074632    -0.0007479685831729436    0.003158025445178191      
Lambda        VEGAHST|ACSWF|F850LP_3pix    4115.058672637683     All      0.0016751999477876956    0.0006699442581314377     -0.002539708469765641     -0.0004407803745974433    
MWEBV         All|All|All                  All                   All      -0.2408010280228281      -1.3225608015742907       -0.020135315566220238     -0.35326329374072796      
Redshift      All|All|All                  All                   All      10.538277334260485       -0.8476031266859252       -1.5826693712052184       -3.7793831155705293       
