#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                    dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W          3533.2541080069936    All      -3.8520873802974602       -0.3341175558006171        -1.2943183955960391      1.088159024202015          
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4115.058672637683     All      4.864820259605228         1.337102278407265          1.3487941500896605       -1.0889033168194395        
Check         All|All|All                  All                   All      1.0127328793077675        1.002984722606648          0.05447575449362141      -0.0007442926174245912     
Lambda        VEGAHST|ACSWF|F775W          3533.2541080069936    All      -0.01402777985811292      -0.0018639605891337587     -0.013041903478840329    0.003380155860709458       
Lambda        VEGAHST|ACSWF|F850LP_3pix    4115.058672637683     All      -0.0002599122833814827    -1.6479767576608918e-05    -0.004287229084559373    -0.00011202536442337476    
MWEBV         All|All|All                  All                   All      -0.226641619275596        -1.3210362438520917        0.05032765423440555      -0.354234441676346         
Redshift      All|All|All                  All                   All      16.990803179801418        0.9754741639996567         14.833501796953552       -4.554768491732614         
