#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5970.938558942694     All      1.1888116509603628         0.04011799890575318        -0.47873634974593404      -0.39553111790547324       
Zeropoint     AB|PS|PS_i                7232.0997610553095    All      0.7069734976401945         -0.11287707090703591       0.4238021531572267        -0.24813995881586004       
Zeropoint     AB|PS|PS_z                8311.447307155138     All      0.25066171567886564        -0.061132356606563576      0.06958130055356726       -0.09845649319530636       
Zeropoint     AB|PS|PS_g                4701.777750736893     All      -1.1463469027801096        1.1321805467532364         -0.01325805909768718      0.7415997053540596         
Check         All|All|All               All                   All      1.0000999614993136         0.9982891181453901         0.0013890448671727285     -0.0005278645625800271     
Lambda        AB|PS|PS_r                5970.938558942694     All      -0.00035873082908501926    -9.154749728247838e-05     -0.0007735425978381969    5.251074784974198e-05      
Lambda        AB|PS|PS_i                7232.0997610553095    All      -0.00033991631961978306    -2.1557880635693583e-05    -0.000903624761906509     6.337519433319145e-05      
Lambda        AB|PS|PS_z                8311.447307155138     All      0.0002435795470908206      -6.623064092230807e-05     1.1914729996649392e-05    -0.00010038367101094062    
Lambda        AB|PS|PS_g                4701.777750736893     All      -1.2695913220671026e-05    -0.0002254810367171092     -0.0010371679520250366    -0.00011559515730419158    
MWEBV         All|All|All               All                   All      -0.7029063151464707        -3.959557424923954         0.02291407947958568       -1.0597758569670295        
Redshift      All|All|All               All                   All      6.83139206019613           2.0639027067440807         11.986377051841156        -1.0180311717751827        
