#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5970.938558942694     All      1.1225936692240377         0.09562626789412221        -0.3954173526964595       -0.35216272920173636       
Zeropoint     AB|PS|PS_i                7232.0997610553095    All      0.682390186486405          -0.14121251321261852       0.30962771093482644       -0.2544572323455871        
Zeropoint     AB|PS|PS_z                8311.447307155138     All      0.29813613739848993        -0.08646953995752327       0.061333382309942064      -0.12254169510734565       
Zeropoint     AB|PS|PS_g                4701.777750736893     All      -1.1034155893815567        1.130443439713158          0.026880096225875172      0.728840912794026          
Check         All|All|All               All                   All      0.9997044037273761         0.9983876544371384         0.0024238367741841738     -0.00032074386064318006    
Lambda        AB|PS|PS_r                5970.938558942694     All      -0.00015385840274849592    -8.787869078366219e-05     -0.0006871421076293041    -9.172233478951445e-06     
Lambda        AB|PS|PS_i                7232.0997610553095    All      -0.0002840330287544957     -1.4868807839732185e-05    -0.0007396630492175367    5.466787725471042e-05      
Lambda        AB|PS|PS_z                8311.447307155138     All      0.0002576554010782167      -7.722249188112912e-05     3.584543039717749e-05     -0.00010748112996577607    
Lambda        AB|PS|PS_g                4701.777750736893     All      -0.0001741199012906516     -9.250714490157671e-06     -0.0008682364471440166    1.4957913205786207e-05     
MWEBV         All|All|All               All                   All      -0.6865576823555588        -3.9684177729472303        0.04097757735076681       -1.0671811604216992        
Redshift      All|All|All               All                   All      5.712580497960595          1.283503136400288          10.45043593318902         -0.9763412503952481        
