#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4391.888972004039     All      -0.3351780125542706        0.21156093961867128        -0.172687017508677         0.17038463543135282        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7914.264327322359     All      0.18884993031626507        -0.04239729053647778       0.03424751097180212        -0.07379651851778697       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6342.9886977850165    All      0.31798006116613703        -0.03072578424685446       0.08858332978111116        -0.10963189877295741       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5392.255615880332     All      0.10810807622201526        0.09992655210719903        -0.19851407266071597       -0.011523762889033978      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5394.925808920989     All      0.25435481308912866        0.19096785276389028        -0.01349966407367953       -0.021249646352877044      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4376.966281157862     All      -0.552930837684044         0.40172947525656255        -0.02543224940732003       0.30982934683120644        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8191.69588901727      All      0.11604308380827426        -0.02390179009434945       0.04290322293972748        -0.04367007568725767       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6554.633948387029     All      0.33731006522658424        -0.04228779696102691       0.03664848726229186        -0.12201205844712612       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4402.816875221715     All      -0.2541401921814178        0.2163451731414412         0.11891726583774243        0.15855929340150807        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5361.633956719274     All      0.14658923493801798        0.12214583140108815        0.09066198433826944        -0.003916192730484339      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6400.602033222375     All      0.5095551531181728         -0.07452272078243283       -0.058943031403579926      -0.1928837358967088        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7863.5158329488895    All      0.1527004597923387         -0.02988801904959537       0.05228512482192138        -0.05714182955743677       
Check         All|All|All                                      All                   All      0.9892418352572014         0.9989524226181157         -0.004829109101106566      0.0029475568123982776      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4391.888972004039     All      -0.00016507884821552875    6.009617025804445e-05      -0.00029189586101329644    6.0320939907085205e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7914.264327322359     All      5.6953300040869305e-06     6.570876618680397e-06      5.737008570777136e-05      2.845357770865845e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6342.9886977850165    All      -7.906591478047124e-05     -4.427520592366807e-06     -9.641528861367943e-05     2.000960900587308e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5392.255615880332     All      4.044959811665414e-05      3.7926045316959103e-06     -0.00020856865386122668    -2.1247849890536252e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5394.925808920989     All      1.986451728923979e-05      -2.8196182758897204e-05    -0.0006512911014185811     -4.4719081740222355e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4376.966281157862     All      -0.00025807116055447815    8.244148196860288e-05      -0.0005083812223945664     8.822945115798875e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8191.69588901727      All      -8.95882222827965e-06      2.0597156000098122e-06     -3.5654488827010255e-06    3.429990661680593e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6554.633948387029     All      -5.758842319297778e-05     2.1454548644095317e-06     -4.307285832259308e-05     1.7535145429052787e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4402.816875221715     All      -9.941201712971924e-05     2.45326395740528e-05       -0.00023476451403494584    2.989639031953891e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5361.633956719274     All      2.0601745614136474e-05     -4.6167164469824506e-06    -0.00037530489854315825    -2.4962616664994014e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6400.602033222375     All      -0.00012803428768984473    -1.2813766325428828e-05    -0.0002295907457645356     2.72855339396334e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7863.5158329488895    All      -7.722804416280926e-06     3.233761206613429e-06      8.325532413182136e-06      3.940444157491957e-06      
MWEBV         All|All|All                                      All                   All      -0.8479858751399476        -4.093591470735802         0.028604855614972058       -1.055924016409317         
Redshift      All|All|All                                      All                   All      3.5794560977511654         -0.06071386023696057       0.11304512611948203        -1.1806784285699534        
