#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6186.98043952936     All      1.202219525458619          -0.16595460877486534      0.3930106133433364         -0.42812106847082976       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5487.215977494761    All      1.026955449454046          0.09299977991650277       -0.15495339002677966       -0.3111349459189616        
Zeropoint     AB|CNIa02|SDSS_g                      4734.809395043573    All      -0.8122032910970514        0.6971219572800225        -0.21440772066170233       0.4820688568880849         
Zeropoint     AB|CNIa02|SDSS_i                      7502.795156978617    All      0.262343175704806          -0.05596763952009365      0.13995534991511072        -0.09743874015847864       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4386.079313877898    All      -0.6762078929921966        0.42246179144453944       -0.01822981440171567       0.3570593484898049         
Check         All|All|All                           All                  All      1.0031069665282233         0.9906612803461057        0.14537503816824948        0.0024334508296197654      
Lambda        AB|CNIa02|SDSS_r                      6186.98043952936     All      0.0004153616347277573      -7.382813296572431e-05    0.00015191626846835688     -0.00015256587586752988    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5487.215977494761    All      0.0003232357178650587      1.1741650867041227e-05    -0.0005844192321812784     -0.00012754381166346992    
Lambda        AB|CNIa02|SDSS_g                      4734.809395043573    All      -0.0004002973993196186     0.0003381166917331525     -0.0003536427282896912     0.00022474431181663954     
Lambda        AB|CNIa02|SDSS_i                      7502.795156978617    All      -1.1575116939746171e-05    -4.427833989018639e-06    -2.3271801687446457e-05    1.2895915698851358e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4386.079313877898    All      -0.00043248691974277764    0.00020386730788019342    -0.00025765201350643483    0.0001957836813591497      
MWEBV         All|All|All                           All                  All      -0.9217355244932075        -4.1232761858364775       0.0788652134910528         -1.0393277286954383        
Redshift      All|All|All                           All                  All      3.648120682088315          -1.885162942864449        5.372808358626013          -1.5626087556420198        
