#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6186.98043952936     All      1.1740816331273185         -0.1267119134913175        0.25086981912728196        -0.412516085145993        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5487.215977494761    All      0.9507659147749012         0.12269758405563103        -0.11613481520472138       -0.27491166136883294      
Zeropoint     AB|CNIa02|SDSS_g                      4734.809395043573    All      -0.7170619856627539        0.619538258484309          -0.2859286159778759        0.4226149914521479        
Zeropoint     AB|CNIa02|SDSS_i                      7502.795156978617    All      0.3319869057880906         -0.056104798182876614      0.11903488125307915        -0.12110225577827212      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4386.079313877898    All      -0.740670687480588         0.43795063182430205        0.03384839699783215        0.38542623768520945       
Check         All|All|All                           All                  All      0.9991017805469685         0.997369762690048          0.0016896661955959902      -0.000488773155740696     
Lambda        AB|CNIa02|SDSS_r                      6186.98043952936     All      -0.00021629158346409694    4.5256972882328824e-06     -0.0002460106340447542     6.0949128302344784e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5487.215977494761    All      4.0890994911141804e-05     -6.160733500887011e-05     -0.0008354333632466566     -7.066863214488727e-05    
Lambda        AB|CNIa02|SDSS_g                      4734.809395043573    All      -0.0002759573521742001     -0.00012614748321764088    -0.0019373086463070482     -3.765518423045812e-05    
Lambda        AB|CNIa02|SDSS_i                      7502.795156978617    All      -6.248851118923481e-05     4.702803915144165e-06      -9.318930953658842e-05     1.7727810976503702e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4386.079313877898    All      -0.00015633501565252966    2.059228563244799e-05      -0.00042178918477144857    3.8808528655143064e-05    
MWEBV         All|All|All                           All                  All      -0.9317427062791048        -4.112512246659938         0.027945831882474927       -1.0348341893853208       
Redshift      All|All|All                           All                  All      5.498644266005709          1.0315780410976916         9.703233873282366          -1.0220596691427795       
