#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4977.058661298319    All      -2.0609297596873937       1.620678223046923         -0.09498149309292733      1.1949822534790182        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5960.032667990742    All      3.059091403784807         -0.6179248821228001       0.09908092277947748       -1.193303648041309        
Check         All|All|All                            All                  All      0.9981616440974133        1.002753340924123         0.004099429686550152      0.0016786054377091464     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4977.058661298319    All      2.0818135925083827e-05    -5.396982873372235e-05    -0.0005688609056331506    -4.974655007509701e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5960.032667990742    All      -0.0003507251428856569    7.511079378231362e-05     0.0005256699135771139     0.00016216700808730788    
MWEBV         All|All|All                            All                  All      -0.4278451088919559       -2.8037473975613736       -0.00825586933817717      -0.7742779618139245       
Redshift      All|All|All                            All                  All      -1.167647464534254        1.0976268776380138        -4.518524610833513        0.5362333780091455        
