#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|MOSAICII|MOSAICII_R 4977.058661298319 All -1.6908697279746652 2.259268344682946 6.050469943697202 1.5566946107309863
Zeropoint Linear_AB11_off|MOSAICII|MOSAICII_I 5960.032667990742 All 2.842075166591968 -0.7406168391001895 -2.518229989840535 -1.2793776919544988
Check All|All|All All All 1.151205438617303 1.5186515055827563 3.5322399538566667 0.27731691877648745
