#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4382.948100609905    All      -1.1542192031447445        0.8187325371145526         -0.03667109868807916      0.6410188272765571         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5409.884055967268    All      0.6064426391591919         0.3952322368968808         -0.2392440050954625       -0.07947453777211386       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6355.043189789701    All      1.1933348518240625         -0.13488431924191246       0.16476358836605698       -0.4252920389119952        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8319.325757978193    All      0.353285086912117          -0.08123736176552931       0.1141549990189672        -0.13644404358698625       
Check         All|All|All                                   All                  All      0.998843374750627          0.9978430930039917         0.003003483601482504      -0.00019179299453819798    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4382.948100609905    All      -0.0005526340405717662     0.0001056479490501639      -0.0018154573364122454    0.0001334085780239259      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5409.884055967268    All      3.674979397826113e-05      -3.0480209542806368e-05    -0.001367594825304293     -8.292849986571845e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6355.043189789701    All      -0.0003161441056180264     2.156675902324038e-05      -0.0002883642500159155    9.713516690198252e-05      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8319.325757978193    All      -5.8187806275863766e-05    1.1439147379207305e-05     -3.022578900863814e-05    2.1330951322764705e-05     
MWEBV         All|All|All                                   All                  All      -0.8668015541266438        -4.102057971891648         0.057452029113136405      -1.0512656318490243        
Redshift      All|All|All                                   All                  All      5.324922931920662          -0.29863957576532485       4.876003405449847         -1.6141856811528854        
