#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4382.948100609905    All      -1.1407576382277966        0.823127169014537          -0.006431555926111414     0.6394148808079663         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5409.884055967268    All      0.5310102261143111         0.3940826231396688         -0.43521746322380245      -0.0640235815753431        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6355.043189789701    All      1.2506348631037698         -0.14078779709763012       0.23084122862590417       -0.4429307530552609        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8319.325757978193    All      0.35815876621465054        -0.07851393400262197       0.21497242373576245       -0.13264543262718992       
Check         All|All|All                                   All                  All      0.9990462172049349         0.9979080610539537         0.004164633211752783      -0.00018488644982772584    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4382.948100609905    All      -0.0005712167539300525     0.00013804679475252793     -0.001622776878873383     0.00015861339292408047     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5409.884055967268    All      2.0252637618553397e-05     -2.2049485655503895e-05    -0.0016730447989328852    -8.843949860842431e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6355.043189789701    All      -0.00036299909883187527    1.9369412912104384e-05     -0.00056773821246567      9.921445493035272e-05      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8319.325757978193    All      -5.484281813344634e-05     1.1309623354164991e-05     -4.437309210737074e-05    1.956785924068454e-05      
MWEBV         All|All|All                                   All                  All      -0.8595412748747067        -4.103970947765712         0.06793156397217157       -1.0537860093246962        
Redshift      All|All|All                                   All                  All      5.219108922178103          -0.408962077639341         4.788912864644882         -1.619540696208826         
