#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4632.3644344858685    All      -0.6614576270810026        0.5843098360562848         0.030375537879961338      0.40714296802177274        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5391.666996275433     All      0.6954569787159861         0.1749982636688685         -0.006247891029718903     -0.16980934075511048       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7410.061865741771     All      0.4487410483081042         -0.0650431992975875        0.09951269048089467       -0.16291563811394436       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6106.473556417543     All      1.1782532666396088         -0.08535648223242376       0.03629749576800275       -0.40997947620580333       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4302.372780886877     All      -0.6619895679463628        0.3884048909787552         -0.15864891244116963      0.3350682599090155         
Check         All|All|All                      All                   All      0.9990040986363338         0.9973133091738973         0.0012889206579702328     -0.0004932271440699076     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4632.3644344858685    All      -0.00014701759910221157    -5.5013299168128614e-05    -0.0008096082918790603    -6.160272330080884e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5391.666996275433     All      0.0001517231360983848      -3.422462337122171e-05     -0.0008090043309141313    -9.667145042503013e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7410.061865741771     All      -3.49954880880313e-05      -2.0001859246170502e-05    -0.0001935087860700317    -3.7514901790663024e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6106.473556417543     All      -0.0001670139437487874     -1.066114082296032e-05     -0.0002160959084114326    4.1285883867576814e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4302.372780886877     All      -0.00036554387847906355    0.00011749487560609697     -0.0005535535353383012    0.00013263906180580238     
MWEBV         All|All|All                      All                   All      -0.8570512636799417        -4.019130558013284         0.015172869460870674      -1.0293161600056036        
Redshift      All|All|All                      All                   All      5.5083979761206425         -0.06501913117205049       3.1833901654758217        -1.6733852295187313        
