#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4632.3644344858685    All      -0.6769142741645783        0.5787081915281433         -0.0136413818572656       0.40838879360855906        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5391.666996275433     All      0.7068594539309381         0.16749056861140588        0.004219306027297698      -0.17550190240840144       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7410.061865741771     All      0.466096731523788          -0.07003726591783277       0.08509510868650594       -0.1708390773783614        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6106.473556417543     All      1.169980272569957          -0.1032091295208204        -0.10746882044443407      -0.41951551481813193       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4302.372780886877     All      -0.6662560933377796        0.4235716093347719         0.029184696227368967      0.3562951159790557         
Check         All|All|All                      All                   All      0.9997660905223255         0.996523974035668          -0.0026110913605270625    -0.0011725850172800145     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4632.3644344858685    All      -0.00015016815148646977    -7.18913903401737e-05      -0.0009332729299665798    -1.615036816258156e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5391.666996275433     All      0.00019570447010101242     -4.813246055999135e-05     -0.0008849012109643764    -0.00011891478715411185    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7410.061865741771     All      -8.4796695398735e-05       -1.887702070027944e-05     -0.0002703325220486918    9.40850787549993e-06       
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6106.473556417543     All      -0.0002185924318508968     -1.1627163449794752e-05    -0.0002820337276515471    5.482952694229319e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4302.372780886877     All      -0.0003456645654835253     9.62398467219197e-05       -0.0006012923916534213    0.0001171098874752203      
MWEBV         All|All|All                      All                   All      -0.8623332714051766        -4.016776353965845         0.023691961487437574      -1.0264486266569672        
Redshift      All|All|All                      All                   All      5.082518296517454          0.15877111293391977        3.4807460829126002        -1.4484967329721523        
