#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6056.730902363868    All      1.1817895184896423         -0.04346772771768315       -0.3924027395757701        -0.4166177268824775        
Zeropoint     AB|PS|PS_i                7336.012869561071    All      0.6256431435965559         -0.11172623867050646       0.2927644909601401         -0.2271207319236232        
Zeropoint     AB|PS|PS_g                4769.334388189997    All      -1.1226567254782562        1.2262913987551194         -0.03338086496980086       0.763640047469874          
Zeropoint     AB|PS|PS_z                8430.868824335967    All      0.30892390697499444        -0.07456756298944711       0.04351588726994038        -0.12297387407441684       
Check         All|All|All               All                  All      0.9936998435829361         0.9965298693774827         -0.08950322631549046       -0.003072285410643527      
Lambda        AB|PS|PS_r                6056.730902363868    All      2.6381804549552025e-07     -2.1276116068234987e-05    -0.00024396147284868157    -1.7903145242345238e-05    
Lambda        AB|PS|PS_i                7336.012869561071    All      -6.726599652181838e-05     -5.951032358288363e-06     -0.0002423998081142343     9.155110896377823e-06      
Lambda        AB|PS|PS_g                4769.334388189997    All      -0.00015542823985060985    -0.00010235527710657987    -0.0012897994698017957     -4.02702164882137e-05      
Lambda        AB|PS|PS_z                8430.868824335967    All      0.0002311311517953302      -5.761007795590558e-05     3.937306563220725e-05      -9.229547874906299e-05     
MWEBV         All|All|All               All                  All      -0.7106871714175025        -4.029218314239635         0.03756151708440569        -1.0792785716552344        
Redshift      All|All|All               All                  All      3.5909891563025567         1.9560049186230444         5.392200338517794          -0.2919390199682653        
