#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6056.730902363868    All      1.2621452939691349         -0.05070115555545485       -0.2780182262238264        -0.4400439565202782        
Zeropoint     AB|PS|PS_i                7336.012869561071    All      0.5774701015035946         -0.10556977525189026       0.2709894154949076         -0.21039554619957085       
Zeropoint     AB|PS|PS_g                4769.334388189997    All      -1.1430245457206027        1.2299961051215114         -0.04940367464741108       0.7707662369431332         
Zeropoint     AB|PS|PS_z                8430.868824335967    All      0.30275155710701807        -0.07445312333027587       0.059254550217050686       -0.12022371565392768       
Check         All|All|All               All                  All      0.999342406859145          0.9992720509838904         0.002822064840720853       0.00010301856935641951     
Lambda        AB|PS|PS_r                6056.730902363868    All      -0.00011351897463480713    -3.889127726322757e-05     -0.0006416788065964815     -4.3264818019994815e-06    
Lambda        AB|PS|PS_i                7336.012869561071    All      -7.837634650939709e-05     -1.7690810796753635e-05    -0.00036222571997477406    3.6028052365144666e-06     
Lambda        AB|PS|PS_g                4769.334388189997    All      -0.0002689489608159857     -1.7106462519467945e-05    -0.0014034601917880041     1.9403404567283768e-05     
Lambda        AB|PS|PS_z                8430.868824335967    All      0.0002835722346128866      -7.147108590000031e-05     5.389858022075948e-05      -0.0001132440439813169     
MWEBV         All|All|All               All                  All      -0.7099160898601373        -4.030817078997639         0.046237160139106025       -1.0796633544620342        
Redshift      All|All|All               All                  All      4.318734268576781          1.5872573332742057         7.2550472443478675         -0.5659724634615366        
