#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4671.565186716256    All      -0.8549863866453065        0.9526689529598897        0.39198699500327566        0.6063053934594935         
Zeropoint     AB|CNIa02|SDSS_i                      7402.578168214114    All      0.9530778623222623         -0.20310378056773715      0.5673451878501995         -0.3512883883239486        
Zeropoint     AB|CNIa02|SDSS_r                      6104.339165681201    All      1.279724776624179          -0.23621707115921708      -0.4044985443763251        -0.5118430450693657        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.921658449745    All      -0.37849858810659964       0.4852070738722958        -0.5514157928670627        0.2567301949042697         
Check         All|All|All                           All                  All      0.9993176641945353         0.9985551751052313        0.003417845610087289       -9.584502955112262e-05     
Lambda        AB|CNIa02|SDSS_g                      4671.565186716256    All      -0.00018388170884764632    3.937037075464615e-05     -7.213341800615876e-05     6.95015639529149e-05       
Lambda        AB|CNIa02|SDSS_i                      7402.578168214114    All      0.00020741687192285969     -7.861386418789686e-05    -3.5642612878659487e-05    -9.47601869951573e-05      
Lambda        AB|CNIa02|SDSS_r                      6104.339165681201    All      0.00023364693752533856     -5.411544034123251e-05    -0.00014240369573933093    -0.00010008849647650144    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.921658449745    All      -0.0003670893119902235     0.00025188869224837643    -0.000743309042112442      0.00016845103109745777     
MWEBV         All|All|All                           All                  All      -0.7803919070308534        -4.082565841309105        0.0943175892245754         -1.0714177278679105        
Redshift      All|All|All                           All                  All      5.051048315568041          -0.37290813303290093      1.135869040666308          -1.7160724397490743        
