#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_g                      4671.565186716256    All      0.0009380865557148263     -0.0001448577437557219    0.0010133491490486174      -0.0003075294677690188    
Zeropoint     AB|CNIa02|SDSS_i                      7402.578168214114    All      2.210984442731835         -1.1469409153802346       0.7887456211410012         -1.0585886671061084       
Zeropoint     AB|CNIa02|SDSS_r                      6104.339165681201    All      -0.09723986036929111      0.721275304301372         -1.060408508781781         0.21929615601549157       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.921658449745    All      -1.1200029396755642       1.4321142024925848        0.2920245848975756         0.8443402313677906        
Check         All|All|All                           All                  All      0.9946797292426948        1.0063037336699665        0.021375046405844478       0.004740190809404687      
Lambda        AB|CNIa02|SDSS_g                      4671.565186716256    All      -4.961919555130749e-05    8.338467145499507e-05     -0.00011086551152153104    3.837631658887714e-05     
Lambda        AB|CNIa02|SDSS_i                      7402.578168214114    All      0.0010224024944721689     -0.0009047060213854023    -0.00019276720243489837    -0.0006363249584987467    
Lambda        AB|CNIa02|SDSS_r                      6104.339165681201    All      -9.686916526901231e-05    0.00109112434979338       0.0001104499954210049      0.0003918974476987199     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.921658449745    All      -0.0015058477936577572    0.0018850755682311658     0.0001275921090149733      0.0011102291468482002     
MWEBV         All|All|All                           All                  All      -0.5269427071749959       -4.364005973275553        -0.048114583323742924      -1.2520048742722834       
Redshift      All|All|All                           All                  All      8.596686824982756         -12.29806028893794        5.900797701166013          -6.542781051746238        
