#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7420.959755363312    All      0.4850033708857937         -0.07231532745057834       0.18806681778918388        -0.173144476970441        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4338.238935104672    All      -0.6535286811144589        0.352063631401478          -0.2401404117070371        0.3168381355413918        
Zeropoint     AB|CNIa02|SDSS_r                      6119.49705254338     All      1.0779950040210942         -0.10539809300267322       0.0459597046893036         -0.383419093642128        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5427.365146721309    All      0.8016711937046699         0.13752602981611517        -0.24085887792429303       -0.2270823551023397       
Zeropoint     AB|CNIa02|SDSS_g                      4683.165305033345    All      -0.7121048583989807        0.6854744142693825         0.248302053534095          0.4663181283395877        
Check         All|All|All                           All                  All      0.9990360290981184         0.9973506550337241         0.0013292863812523759      -0.0004896618339292336    
Lambda        AB|CNIa02|SDSS_i                      7420.959755363312    All      -0.00010298729783105572    1.0463702160591039e-07     -0.00020786746756026512    2.4304264428959384e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4338.238935104672    All      -0.0002154122587899231     5.8500203697766566e-05     -0.0004190651015542884     7.052134969861633e-05     
Lambda        AB|CNIa02|SDSS_r                      6119.49705254338     All      -0.00011515961998917088    -7.537728743833848e-06     -0.00025837658316042327    2.3525830407934547e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5427.365146721309    All      2.860638920553434e-05      -3.879316957148681e-05     -0.0011607989082923825     -7.375537759383634e-05    
Lambda        AB|CNIa02|SDSS_g                      4683.165305033345    All      -0.00014383367869779586    -5.3751811073936895e-05    -0.0007812182965250306     -5.519556677547312e-06    
MWEBV         All|All|All                           All                  All      -0.8795802644391855        -4.064197647374801         0.024951159122824626       -1.0362211967869017       
Redshift      All|All|All                           All                  All      4.395129419615349          0.42690298744210153        4.417771106837752          -1.0954370653213277       
