#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7420.959755363312    All      0.4734360058756152         -0.06369830194437043       0.20906845270584618        -0.16563255042321978       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4338.238935104672    All      -0.7277011590496416        0.3713531261880121         -0.33223178095996286       0.3431721600150289         
Zeropoint     AB|CNIa02|SDSS_r                      6119.49705254338     All      1.06944852605912           -0.089767656746087         0.14955908771939752        -0.37092071263441356       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5427.365146721309    All      0.8632872339964172         0.14033873876115877        -0.19848981486986772       -0.24434579800404893       
Zeropoint     AB|CNIa02|SDSS_g                      4683.165305033345    All      -0.678374377631575         0.6388713797679912         0.17331087521883504        0.4368043476562042         
Check         All|All|All                           All                  All      1.0000962292499356         0.9970972860267047         0.001216819814248149       -0.0009225533904491656     
Lambda        AB|CNIa02|SDSS_i                      7420.959755363312    All      -9.513068534465724e-05     9.873081519424092e-07      -0.00017409244922956358    2.353984623848516e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4338.238935104672    All      -0.000267333315394421      5.3554392633964914e-05     -0.0004696452907842912     8.356557107196679e-05      
Lambda        AB|CNIa02|SDSS_r                      6119.49705254338     All      -0.00013207319067031327    -6.509965655839512e-06     -0.00025303966678918516    2.960807513496918e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5427.365146721309    All      -9.543612695704164e-05     -2.3165676523385583e-05    -0.0011662459499921579     -2.8503337040804426e-05    
Lambda        AB|CNIa02|SDSS_g                      4683.165305033345    All      4.57407781103046e-05       -0.0001649715430025661     -0.0008675183598445808     -0.0001073492952480711     
MWEBV         All|All|All                           All                  All      -0.8720826222557672        -4.064655365643599         0.0311440345086178         -1.0385361598241536        
Redshift      All|All|All                           All                  All      4.694068325510463          0.8198142801850494         4.822260719062365          -1.0467766536852996        
