#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7162.634774575281    All      0.7435084580218894         -0.06038342081513548       1.1731673705835555         -0.20950096060816867       
Zeropoint     AB|PS|PS_g                4656.616740977899    All      -0.9691115914340265        1.1480797240817076         1.2022575045797013         0.7432900956492356         
Zeropoint     AB|PS|PS_r                5913.587142345323    All      0.9521225336654315         -0.043425258079565765      -2.593380100046694         -0.4400133112219526        
Zeropoint     AB|PS|PS_z                8231.615087758768    All      0.2764272148239774         -0.043523485217278335      0.28130030686844276        -0.09166532833885313       
Check         All|All|All               All                  All      1.0029466150772717         1.000747559969728          0.06334508198500566        0.0021104954802612375      
Lambda        AB|PS|PS_i                7162.634774575281    All      -0.00045180073877139804    -2.7633509842785226e-05    -0.0016477202563321585     6.463503381469286e-05      
Lambda        AB|PS|PS_g                4656.616740977899    All      3.9626132777983286e-05     -0.0001587888682996155     -0.0007210680491949284     -9.680824880042475e-05     
Lambda        AB|PS|PS_r                5913.587142345323    All      -0.00025642369937856893    -1.7027415512155368e-05    -0.00040580939723533786    5.9869835975626145e-05     
Lambda        AB|PS|PS_z                8231.615087758768    All      0.00016442391559783748     -2.3170194883651192e-05    0.0002090179808468258      -5.1778060946408325e-05    
MWEBV         All|All|All               All                  All      -0.6630291181638492        -3.896060619083297         0.25646227264066457        -1.041659990087191         
Redshift      All|All|All               All                  All      5.775468911598976          0.435284147617665          5.51488527405008           -1.4933698636600816        
