#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7162.634774575281    All      0.7759708762716236         -0.08389037625757823       0.9990040185655297        -0.23550413745463336       
Zeropoint     AB|PS|PS_g                4656.616740977899    All      -1.0516978655144402        1.1395613663271575         0.6267632943723347        0.7417347893063869         
Zeropoint     AB|PS|PS_r                5913.587142345323    All      0.9753897090101569         -0.008847432088820995      -1.9396526630568112       -0.4071562071458505        
Zeropoint     AB|PS|PS_z                8231.615087758768    All      0.30191279760318246        -0.046908233005282796      0.34730136893159763       -0.098124020542292         
Check         All|All|All               All                  All      1.0015755173705227         0.9999153249754755         0.033416018812650716      0.0009504241636110466      
Lambda        AB|PS|PS_i                7162.634774575281    All      -0.00044327769748170104    -8.258551307518297e-06     -0.0014081521417250121    7.886068493741241e-05      
Lambda        AB|PS|PS_g                4656.616740977899    All      -4.227984835825113e-05     -9.9644765078838e-05       -0.0007855977910512388    -5.3743261920067304e-05    
Lambda        AB|PS|PS_r                5913.587142345323    All      -0.00015946339044153697    -3.350838338081168e-05     -0.0003978683477183136    2.3272652580884797e-05     
Lambda        AB|PS|PS_z                8231.615087758768    All      0.00016837210762236113     -2.2475888756890146e-05    0.0002472826994024212     -5.1130379987335366e-05    
MWEBV         All|All|All               All                  All      -0.6678124737695526        -3.9002655048808954        0.1983632086717201        -1.0440642578251849        
Redshift      All|All|All               All                  All      5.380168780542422          0.0830666424533888         3.573427161316303         -1.5659747938073942        
