#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5325.167645814558     All      0.06796588792742791        0.18833141780794094       0.14618362547826153        0.045730516798382685      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4348.03904795031      All      -0.1166127289312795        0.15469465859450082       -0.22625044563358498       0.07827722360715934       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6473.084200480707     All      0.436215772539914          -0.24893116374027358      -0.2507216409699253        -0.23436345312477763      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5327.804617538657     All      0.07456715102186007        0.5127647438079919        0.04658866625956235        0.1448144104441993        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8089.778567632908     All      0.09849328100827948        -0.08869621039071518      0.025804687840987602       -0.05982223099829946      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6264.072142970494     All      0.08977250147206302        -0.05625675362352922      -0.42945946431115956       -0.06673133606065834      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5294.9269672856335    All      -0.07220356522982518       0.18120943823145552       -0.3970859928907182        0.06482482815480531       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7765.68157723242      All      0.14617991750686588        -0.1006758777568173       0.05135089329663422        -0.07811749931011215      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4337.247104690056     All      -0.29676884728861247       0.22851221248663123       -0.034607921531414024      0.16955692981284692       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7815.7986821255045    All      0.26451199062677333        -0.07280140726617645      0.2009461929559394         -0.10090676529576094      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6320.968679724973     All      0.8284880217213145         0.0908710716040595        0.6016646086375554         -0.21341657939215308      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4322.510075115916     All      -0.5241721581344858        0.21018727593018482       0.26780176256794325        0.251155790077029         
Check         All|All|All                                      All                   All      0.9964372242402951         0.999209405685253         0.002214971700081614       0.0010018347126609095     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5325.167645814558     All      -9.016618525202186e-05     0.0001803763114860905     -0.0006376302456812788     5.9670082436409495e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4348.03904795031      All      -0.00011332768245962059    0.00015102060853430585    -0.0002200396745222616     7.628757510891746e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6473.084200480707     All      -7.490767484489171e-05     4.950031094384605e-08     -0.00017079058261480984    1.6794418676744826e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5327.804617538657     All      -8.47479508875353e-05      0.0004472291688119114     -0.0007338524839644506     0.00014053398351671564    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8089.778567632908     All      5.999118964957876e-06      -5.359879286883958e-06    1.656836618886702e-06      -3.62606242184181e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6264.072142970494     All      -8.320149811064004e-06     5.484988767157525e-06     3.732054530426499e-05      6.162232340360207e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5294.9269672856335    All      -8.452961176158759e-05     0.00021443155420810493    -0.0004783892760269857     7.603317105993338e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7765.68157723242      All      -1.4171800745793991e-05    1.3993137570406076e-05    -1.2100768241707884e-07    9.168846991436132e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4337.247104690056     All      -0.00027105886690606583    0.0002381278513236482     -0.0001864674003388451     0.00015753768220954146    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7815.7986821255045    All      -4.465353192399939e-05     2.638252055213189e-05     3.7975567968050774e-08     2.3140473983369025e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6320.968679724973     All      -0.00018744769138947473    -2.235127953439551e-05    -0.00042190851025026974    3.494949379504635e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4322.510075115916     All      -0.0004892433147060208     0.00021990344633637614    -2.1619753550044955e-05    0.00023002764000196768    
MWEBV         All|All|All                                      All                   All      -0.7912414040440261        -4.085652459698963        0.04695242987976472        -1.0710027924304264       
Redshift      All|All|All                                      All                   All      7.325461556370115          -4.489890012108511        4.809895026015611          -3.634005195411885        
