#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5325.167645814558     All      -0.034184581218307586      0.22033454459542412        0.03796376250377875        0.08459940106734509        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4348.03904795031      All      -0.07739285539895399       0.12953149140599862        0.011715205682705232       0.06792486318680235        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6473.084200480707     All      0.4201191414741817         -0.24256135393212475       -0.2459895823660574        -0.2268342241662724        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5327.804617538657     All      -0.03162262821167949       0.47271557537218456        0.20417506721055467        0.17339094064876548        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8089.778567632908     All      0.05500222010707416        -0.06594586481751818       -0.07150310543493354       -0.042587625527419626      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6264.072142970494     All      0.05575857353025432        -0.04589232011529276       -0.3370284988150285        -0.04815107426163062       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5294.9269672856335    All      -0.05002477420788956       0.14530083306301123        -0.10061236973482046       0.059134108344374714       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7765.68157723242      All      0.1345733475509419         -0.07363639149264856       -0.05296188293053561       -0.0701842074935094        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4337.247104690056     All      -0.21340175485827784       0.1652446579061717         0.022767802938306048       0.12435361621074836        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7815.7986821255045    All      0.3745007831881538         -0.07991875271642357       0.1532834190203225         -0.14117905781719647       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6320.968679724973     All      0.9474202277317514         0.0941930200371921         0.46422354612172256        -0.2572080071256949        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4322.510075115916     All      -0.5623326031383089        0.2686995024444805         -0.10297499137568167       0.2660991960144368         
Check         All|All|All                                      All                   All      1.01841509654894           0.988064941750455          -0.016941627179667407      -0.010642070919250624      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5325.167645814558     All      -4.988304892960143e-05     0.00010469871099286993     -0.0003033766987276177     3.6814056090158875e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4348.03904795031      All      -9.110889165897336e-05     0.0001472406735665978      9.881479181845202e-06      7.807925989364298e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6473.084200480707     All      -2.805528239298301e-05     -2.9562946818519843e-05    -3.706248863030834e-05     -2.1450245498010024e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5327.804617538657     All      2.4925626248086885e-05     0.0005106468690016214      0.00016031726772146716     0.00016536961186689757     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8089.778567632908     All      9.84703613970058e-06       -1.1410139881908139e-05    -1.0280635778536014e-05    -7.3829391281003765e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6264.072142970494     All      -4.550401960683148e-06     3.922693432642469e-06      3.310808523504678e-05      4.23742771026939e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5294.9269672856335    All      -5.557446595665856e-05     0.00016681010931706116     -0.0001327088100486812     6.651578771890892e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7765.68157723242      All      -1.3759336182958846e-05    1.9040653289384846e-05     7.5245700156704495e-06     1.1019822659443174e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4337.247104690056     All      -0.000305035338750571      0.0002960447443113244      5.011801717995494e-05      0.00019802809492363167     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7815.7986821255045    All      -0.0001131046667688783     3.660944876670398e-05      -4.703046449468827e-05     4.6668059250752445e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6320.968679724973     All      -3.9965266446182407e-05    -9.081951877202324e-06     5.1832802386176715e-05     1.2372771497031368e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4322.510075115916     All      -0.0007030936106095186     0.00029501065450235456     -0.00027282309761859615    0.0003129405539863601      
MWEBV         All|All|All                                      All                   All      -0.7528059206223832        -4.098185615735872         -0.0022344807997232152     -1.0897999410368244        
Redshift      All|All|All                                      All                   All      7.725371240175491          -5.9063141565451005        -1.304434876670646         -4.498499340333704         
