#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_B
@MAGSYS  Linear_AB11_off
58405.16351  17.41  0.01
58405.16747  17.402  0.01
58408.09082  17.2  0.01
58408.08686  17.191  0.01
58408.98505  17.169  0.01
58408.9811  17.172  0.01
58419.22893  17.411  0.01
58419.22613  17.436  0.01
58421.59769  17.67  0.01
58421.60051  17.665  0.01
58423.21402  17.875  0.01
58423.21122  17.852  0.01
58430.22264  18.69  0.02
58437.24682  19.29  0.04
58437.24963  19.277  0.036
58438.88923  19.408  0.087
58443.15596  19.673  0.124
58450.14189  19.94  0.033
58450.13927  19.936  0.032
58454.86645  20.203  0.047
58457.0828  20.289  0.116
58457.07999  20.373  0.134
58471.09521  20.659  0.174
