#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7206.172423512989    All      0.5518520075823496         -0.05348628087578078      0.3406892529355332        -0.1819751989595969        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4504.903933094599    All      -0.58500235254621          0.4078391091758782        -0.3349326728921853       0.3084546206957195         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5243.314121971342    All      0.5650258864032278         0.2787848660651626        0.039638455401858064      -0.09146923516221844       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4183.992070651402    All      -0.6545891845472043        0.41503780056793005       0.029718758437813353      0.34973891043033056        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5938.452626233561    All      1.1390574675830631         -0.044934312464839365     -0.06610245235800782      -0.38861492378532564       
Check         All|All|All                      All                  All      1.0163438244752265         1.0032411824683507        0.009011341525011485      -0.003865826781090931      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7206.172423512989    All      -0.0001792166966704074     -4.30057902075594e-05     -0.0007230540232579636    1.210179324967654e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4504.903933094599    All      -0.00016658824313985033    4.167796824013365e-05     -0.0005972359223607503    4.1187260591713746e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5243.314121971342    All      0.00010529231089084733     4.32003927718353e-05      -0.0008051403588964658    -5.615509683642602e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4183.992070651402    All      -0.00037026788536021794    0.00017356748766659446    -0.000253576104769031     0.0001658291357242525      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5938.452626233561    All      -9.745548165055224e-05     -6.445084811643573e-05    -0.0006734140527597994    -1.9300681333542673e-05    
MWEBV         All|All|All                      All                  All      -0.7984496503206806        -3.8818498724340067       -0.002063276806596459     -1.004456967764114         
Redshift      All|All|All                      All                  All      6.28244733951292           0.2583919106956323        11.295214283782961        -1.4581795022602677        
