#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_i
@MAGSYS  Linear_AB11_off
58405.19117  17.701  0.015
58405.19396  17.698  0.014
58408.11729  17.607  0.012
58408.11449  17.555  0.012
58409.01159  17.454  0.016
58409.00878  17.656  0.019
58419.24545  17.584  0.016
58419.24732  17.613  0.014
58421.61908  17.756  0.017
58421.61719  17.781  0.016
58423.2305  17.869  0.016
58423.23237  17.874  0.016
58430.24399  18.034  0.027
58430.2421  18.055  0.03
58437.26627  18.156  0.032
58437.26817  18.054  0.031
58438.91059  18.086  0.032
58446.85257  18.42  0.032
58446.85447  18.41  0.034
58450.15717  18.445  0.036
58457.09861  18.849  0.057
58457.10048  18.996  0.102
58462.14202  19.255  0.029
58471.12702  19.508  0.095
