#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7206.172423512989    All      0.5345285773049765         -0.06255078558279337       0.17390282408535682        -0.18672790748797263       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4504.903933094599    All      -0.605777529111088         0.4327507466065583         -0.23089805715892187       0.32797890615207625        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5243.314121971342    All      0.5111138375857515         0.257440126967623          0.06209361865167386        -0.0798589201507652        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4183.992070651402    All      -0.6589498680318665        0.40419011198853383        0.049987063932158925       0.34853036084009975        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5938.452626233561    All      1.2179637398064689         -0.03458167837422366       -0.05357120634186757       -0.4103858871171102        
Check         All|All|All                      All                  All      0.998878757554242          0.9972485216056981         0.0015142431684001603      -0.00046344776367202023    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7206.172423512989    All      -0.000223742087231621      -8.404864110725254e-06     -0.00041463511557490967    5.163915709678603e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4504.903933094599    All      -0.0002252225255365525     3.088369987536702e-05      -0.0007960795313979288     4.789685003596198e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5243.314121971342    All      0.00016588222894560218     7.221986620770871e-06      -0.0007923444316618723     -8.703955357084946e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4183.992070651402    All      -0.0003453677316641082     0.00014916259266460892     -0.00029266116091074035    0.00014802467273092695     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5938.452626233561    All      -0.00017713963083630112    -5.3475773233028996e-05    -0.000680097418221209      9.931762640705694e-06      
MWEBV         All|All|All                      All                  All      -0.8016962740787612        -3.8795669749621453        0.02158226131051484        -1.0016006290175385        
Redshift      All|All|All                      All                  All      6.279264558830489          0.3994184667502232         9.936976353769502          -1.471817697594086         
