#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4648.200302780892    All      4.007567891104126          0.6635105417105436        0.17031409090432492       -1.0816691592637429       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3881.583686722343    All      -3.015481097541632         0.3390114880335915        -0.156954789012409        1.0856644232835582        
Check         All|All|All                            All                  All      0.9920867935624946         1.002522029744135         0.01335930189191592       0.003995264019815314      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4648.200302780892    All      -0.00013754138934039567    -5.267422739099848e-05    -0.0015494202719606078    -4.149948381407364e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3881.583686722343    All      -0.002762611364074949      0.00019606956615414589    -0.0015900942285103836    0.0008927811143072223     
MWEBV         All|All|All                            All                  All      -0.12288817215508363       -1.9207606556630452       0.0332599039531839        -0.5841419793701549       
Redshift      All|All|All                            All                  All      8.138281427994828          0.10475885507847948       1.631443216700229         -2.5439787792274973       
