#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4648.200302780892    All      3.915260616691463         0.7266753283559524         0.4463069292472844        -1.0187105013122584      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3881.583686722343    All      -2.9248265814598033       0.2750726283153426         -0.4443241942937739       1.0224842980967097       
Check         All|All|All                            All                  All      0.9904340352316603        1.001747956671295          0.001982734953510479      0.003773796784451333     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4648.200302780892    All      -0.0004930351789991925    -0.00011454289660237442    -0.0012126409682041983    6.917279145043742e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3881.583686722343    All      -0.0021616189842107274    9.506839583071706e-05      -0.0016953407337289281    0.0006594220519611014    
MWEBV         All|All|All                            All                  All      -0.13989556437748463      -1.9188138544048883        0.034059568909509626      -0.5779322896048211      
Redshift      All|All|All                            All                  All      7.862334397574082         0.5504645679625497         0.19384963278118333       -2.373065938084857       
