#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4193.948032868447    All      -1.158252473040465        0.6313293468007686        0.09892893418147475       0.5873404181837446         
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7619.881207859055    All      0.848403580481788         -0.13960730071591598      0.24049756500031938       -0.3110953468380001        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5246.849636741228    All      1.3088644631392083        0.506641733744484         -0.34581629084564636      -0.2767425280913935        
Check         All|All|All                                All                  All      0.9990155705805313        0.9983637798293366        -0.006389791663852229     -0.0004974567456489942     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4193.948032868447    All      -0.0009274329147016342    0.00031981489930894374    -0.0007288411214213018    0.0003737448144546774      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7619.881207859055    All      -0.0001604250158131662    1.08796969997362e-05      -0.0002443729321655277    4.48943391225489e-05       
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5246.849636741228    All      0.0002536403125801701     7.419768042089024e-05     -0.0023409553883664575    -0.00016291645614510897    
MWEBV         All|All|All                                All                  All      -0.678022045942765        -3.908053759567043        0.06496050673633347       -1.0492287049515963        
Redshift      All|All|All                                All                  All      5.817744671895531         -0.8597749531212173       8.374142224757474         -1.8013883192915225        
