#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W                    5033.046867395378    All      -0.1151686374992677        0.06947775989836202        -1.4248950351587848       -0.0034411147945028657     
Zeropoint     VEGAHST|NICMOS2|F110W_faint            7555.304405546199    All      0.6961613219351855         -0.07381174353735531       0.38604292392896605       -0.2335782361219129        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5192.911275763027    All      0.2614446747286886         0.31801009053573637        0.960565603126812         0.06129084802456712        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4336.456775010117    All      -0.5166054566524374        0.768309872488615          1.148585303047291         0.469795281973463          
Zeropoint     VEGAHST|ACSWF|F625W                    4135.710290709354    All      -0.5096075084860645        -0.0026213045703826765     -0.7043488894687661       0.13371022998646936        
Zeropoint     VEGAHST|ACSWF|F850LP                   5911.65151363183     All      1.1795848244790954         -0.08024906327044334       -0.3769918636600435       -0.42719275995796896       
Check         All|All|All                            All                  All      0.9958092185051999         0.9991156115445321         -0.011041958184525191     0.0005842491101147318      
Lambda        VEGAHST|ACSWF|F775W                    5033.046867395378    All      -0.00028383543327788527    9.294249368128713e-05      -0.002576272542485713     7.761755256882634e-06      
Lambda        VEGAHST|NICMOS2|F110W_faint            7555.304405546199    All      0.00012915978051085584     -2.5922483827066776e-05    1.578612727282629e-05     -4.9810933192685804e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5192.911275763027    All      0.00012273738471110487     0.00010555227170354907     0.00045454575812084544    1.4686532851791555e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4336.456775010117    All      -8.015120329068034e-05     0.00011319293363156446     0.00030774323408450414    7.671171335238498e-05      
Lambda        VEGAHST|ACSWF|F625W                    4135.710290709354    All      -0.0005675260440284935     -3.9194451062440125e-06    -0.0007920430779865433    0.00014823996652706613     
Lambda        VEGAHST|ACSWF|F850LP                   5911.65151363183     All      -0.00017649359956664176    9.939310793322445e-06      -5.722880810143188e-06    6.047194647849335e-05      
MWEBV         All|All|All                            All                  All      -0.16173936224311003       -2.3097747634921006        0.0009699643535099558     -0.6996425133982279        
Redshift      All|All|All                            All                  All      6.5806543404531315         -0.5161845559142009        8.171535654349219         -1.9470158018636774        
