#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6404.825104265096     All      1.1739674877077748         0.09984054218925564        2.26149179194058           -0.24895849186405855       
Zeropoint     AB|SDSS|SDSS_u            3073.818523896805     All      -0.03293320496376234       0.04204885052061513        0.7018975954946577         0.055746588295487155       
Zeropoint     AB|SDSS|SDSS_z            7614.803151380043     All      0.13792046607819247        0.00838228713568867        0.41267594226682724        -0.0237790146097552        
Zeropoint     AB|SDSS|SDSS_g            4041.9104404147793    All      -0.8221189030041269        0.6047708664219442         -0.7795993617998365        0.4299950022343627         
Zeropoint     AB|SDSS|SDSS_r            5281.56864336576      All      0.5416010661495554         0.24571445245094026        -2.524963582779001         -0.20905753242323727       
Check         All|All|All               All                   All      0.9984369119676338         1.000756998718444          0.07150238512322771        0.003946551632798834       
Lambda        AB|SDSS|SDSS_i            6404.825104265096     All      -0.00025803787121347064    -3.8657017920172046e-05    -0.0006333267156164254     4.3197098779755134e-05     
Lambda        AB|SDSS|SDSS_u            3073.818523896805     All      -2.396520651073411e-05     3.802567213697324e-05      0.0006736119216245583      5.025267488933936e-05      
Lambda        AB|SDSS|SDSS_z            7614.803151380043     All      -2.2311754915763823e-05    -1.208038132850381e-06     -8.668044639502941e-05     3.0060246341349873e-06     
Lambda        AB|SDSS|SDSS_g            4041.9104404147793    All      -0.0005759530345509959     0.00037479006105697594     -0.0014523097790257865     0.00024487838953792803     
Lambda        AB|SDSS|SDSS_r            5281.56864336576      All      0.00017906636962266648     7.874605641584699e-05      -0.00037456338652346467    -4.9392670084864546e-05    
MWEBV         All|All|All               All                   All      -0.6605235306194941        -3.280877639102897         1.2735626932188684         -0.7967022864861297        
Redshift      All|All|All               All                   All      4.398113000844761          -0.5799499170869638        0.13294013816130062        -1.6155863579816374        
