#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7748.464793164233     All      0.12510013264689496        -0.016707160127449328      0.03688230355946341        -0.04454541276439668       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4289.350399571499     All      -0.33582197860358276       0.21509143654254714        -0.07148822692332531       0.1762604325920633         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3505.3606683169432    All      -0.14659401634710367       0.06226765750874108        -0.02032251054444184       0.06712621821213557        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_B     4287.692547422887     All      -0.08762440698750004       0.06012060933171526        0.0026070048511790977      0.04824175113479701        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6065.436696553733     All      0.5315432253967172         -0.024205869035309746      -0.02878436038219086       -0.1823102774607124        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_i'    7438.385546203226     All      0.09506419919075496        -0.012383057991982582      0.025685847248703365       -0.033852865182301364      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6266.512901049194     All      0.4252093418768004         -0.017328292973761705      0.07394455607613816        -0.14084926080395152       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4685.713493017553     All      -0.262491074214362         0.287149373770923          -0.0010505680569708163     0.17898909451514006        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4285.271217608307     All      -0.2709246666939963        0.17811389402790923        -0.03433606743266694       0.14473437116730625        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5281.905046795474     All      0.21028920246733107        0.10859522278900968        -0.012487831043224684      -0.03368234935871113       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_r'    6101.287636007351     All      0.19387323146322738        -0.008161820308494327      -0.000558612022499973      -0.06583439140677662       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5240.399229889454     All      0.24926461296830021        0.1496880594547001         0.007924090568832615       -0.032081743682628686      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_V     5271.81486014087      All      0.0803011548941763         0.04144742527776302        -0.0012585276425986286     -0.01271210029428316       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7415.925115342426     All      0.18797001057039606        -0.026973858190526556      0.02349635078897212        -0.06896575527779591       
Check         All|All|All                              All                   All      0.9951589686280538         0.9967136200757842         0.00025344904536971427     0.0005177113898847396      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7748.464793164233     All      -2.1982472312404984e-05    3.1554852664367143e-06     -3.277581526040579e-06     8.041996387548579e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4289.350399571499     All      -0.00019290245059976462    6.591259535361268e-05      -0.0003541264712516151     6.850153726120718e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3505.3606683169432    All      -0.00023221065687392423    6.869456548756005e-05      -0.00019184339389022474    8.945364084642459e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_B     4287.692547422887     All      -3.972483869382442e-05     2.09102577250796e-05       -3.716756481195503e-05     1.8092228025949897e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6065.436696553733     All      -8.982738659601488e-05     -2.2161484350705753e-05    -0.0003715572033768221     5.460119017161071e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_i'    7438.385546203226     All      -1.996785853780503e-05     1.9922278549654606e-06     -1.2178116422727762e-05    6.6096691996276186e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6266.512901049194     All      -9.746555235768829e-05     9.302927825514535e-07      -6.660432286048852e-05     2.9078518862655645e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4685.713493017553     All      -6.135093909140326e-05     -6.119928655970219e-05     -0.0006807439841334905     -3.0329079249051183e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4285.271217608307     All      -0.0001215449778659953     5.3494915650268125e-05     -0.00015409460892736412    5.01397172942067e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5281.905046795474     All      6.67535181777546e-05       2.5469454985361408e-05     -7.899187439413384e-05     -1.697262214475229e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_r'    6101.287636007351     All      -2.169781892990337e-05     -2.2968148608536657e-07    -1.5519292168421572e-05    6.300323914248941e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5240.399229889454     All      5.224039496005415e-05      6.0485394459704715e-06     -0.0005684502435427202     -4.041353057962097e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_V     5271.81486014087      All      2.9123015252719073e-05     1.2545561072285423e-05     -6.098917642661765e-05     -8.12148903937468e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7415.925115342426     All      -4.29591058732875e-05      -1.3554096212346933e-05    -0.00021820038491965883    -1.591019781930617e-07     
MWEBV         All|All|All                              All                   All      -0.9361709452284206        -3.9362134165671137        0.004322554080192954       -0.9770196356448556        
Redshift      All|All|All                              All                   All      5.090950502865078          0.6912730478393136         6.478520069299319          -1.1440130962644162        
