#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7748.464793164233     All      0.1166744749540785         -0.014067491611324812      0.038100642086291714       -0.04088670312689946       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4289.350399571499     All      -0.3330224090490737        0.2206627736851985         -0.09559285484930236       0.1760876096481817         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3505.3606683169432    All      -0.14899887391593092       0.061426062581215746       -0.035102111773333         0.06697587856162868        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_B     4287.692547422887     All      -0.06101383035696398       0.0450251526346257         0.008237865265736666       0.03490800343094319        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6065.436696553733     All      0.5670545935765011         -0.01914796594055801       -0.015547007790206457      -0.19163925067893078       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_i'    7438.385546203226     All      0.06979788913374115        -0.007768608291147672      0.028041900647957085       -0.02401457883912661       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6266.512901049194     All      0.4101211079656627         -0.011575304711630707      0.08801842170531593        -0.13343253710217107       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4685.713493017553     All      -0.2305025963587663        0.29697514544073655        0.05656024812226157        0.17434087810822563        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4285.271217608307     All      -0.25383289656227725       0.17606115535384603        -0.030981507275762432      0.13864807342649638        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5281.905046795474     All      0.19766959031612608        0.0956365960854022         -0.028775727287744246      -0.03451963155346738       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_r'    6101.287636007351     All      0.13033744946071826        -0.004009582642350296      0.000558025695895914       -0.04373634611815336       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5240.399229889454     All      0.28230212755040585        0.15427960534308838        -0.036875574040795556      -0.04334673480485551       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_V     5271.81486014087      All      0.056628558676484836       0.02815907137749818        -0.008011517227957121      -0.009630965849907747      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7415.925115342426     All      0.19032590206878344        -0.024420940530678337      0.03132340137772527        -0.06855229205560698       
Check         All|All|All                              All                   All      0.9935410874594898         0.9972356687739214         -4.5795343917021114e-05    0.001201403046356686       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7748.464793164233     All      -2.1902245908913354e-05    2.4538262009215438e-06     -7.813753949548284e-06     7.584882025650419e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4289.350399571499     All      -0.00025260093693755967    8.639438952180497e-05      -0.000533743701147438      8.660340045673148e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3505.3606683169432    All      -0.00020816564326544163    8.29378778698836e-05       -2.0524019236328936e-06    9.473040458364414e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_B     4287.692547422887     All      -3.06185267584776e-05      1.788573065001133e-05      -3.0288967727606334e-05    1.4447774863129272e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6065.436696553733     All      -4.019836473629047e-07     -3.6449548440508753e-06    -0.00010190011247700144    -5.603676418904616e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_i'    7438.385546203226     All      -1.4624131886164891e-05    1.1388600860663452e-06     -8.792539228667507e-06     4.7421544292846216e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6266.512901049194     All      -6.460258076991018e-05     -8.107743330110965e-08     -4.0933163243288274e-05    1.919011725481387e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4685.713493017553     All      -7.377317960719e-05        -1.829423485552111e-05     -0.0005999360579361372     -8.701073350352417e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4285.271217608307     All      -0.00014193183208269241    6.701353813755736e-05      -0.00017370172009961417    6.0308871194333104e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5281.905046795474     All      5.51420182676345e-05       3.0210794293609537e-05     -0.0001258718204627081     -1.3738001100135497e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_r'    6101.287636007351     All      2.8426583464025653e-06     -1.6933651071569983e-06    -2.901372246792473e-06     -1.6070069874169815e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5240.399229889454     All      3.968751179729335e-05      2.387196208869986e-05      -0.0006952194952558121     -3.6176097901837056e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_V     5271.81486014087      All      2.618281649605536e-05      7.491175626668898e-06      -6.260023734290232e-05     -8.882043448001328e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7415.925115342426     All      -2.031250717004679e-05     -1.0824887230861911e-05    -0.00015153034671416376    -3.6716734725262402e-06    
MWEBV         All|All|All                              All                   All      -0.9496705273327382        -3.929829509526872         0.0011888447898789067      -0.9706827721361305        
Redshift      All|All|All                              All                   All      4.8045760936111765         0.1716203419748652         6.742696219300881          -1.208210543841072         
