#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7454.972301211955    All      0.5622477334489429         -0.05314284129402935       1.5364309374680474         -0.13188909977519536       
Zeropoint     AB|CNIa02|SDSS_r                      6147.544593687885    All      1.4848885796950215         -0.07990969897675448       0.15134603384370227        -0.5029524013143938        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4358.122421277196    All      -0.7088960660803596        0.8644555937510123         1.4663588614813872         0.5779292585844698         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5452.240434012387    All      0.30767775570612965        0.3595534755688856         -0.8333765047384922        -0.020292137226846085      
Zeropoint     AB|CNIa02|SDSS_g                      4704.629695072531    All      -0.4412550421348137        -0.06790147965043403       -2.16350242421095          0.025066361683218075       
Check         All|All|All                           All                  All      1.2046629606349206         1.02305504939868           0.1572569038436944         -0.0521380180487474        
Lambda        AB|CNIa02|SDSS_i                      7454.972301211955    All      -6.902568820401614e-05     4.721848195081283e-05      -0.00038708813730254976    2.0590584802729528e-05     
Lambda        AB|CNIa02|SDSS_r                      6147.544593687885    All      0.0002330768352996654      -7.968721671555986e-05     -0.0021776562635229166     -0.00019905633880060747    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4358.122421277196    All      -0.00048100900395498273    0.0007228336370916959      0.0018271015651605276      0.0004736663047145508      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5452.240434012387    All      0.00011131043392754441     0.0002022134520900572      -0.00044158881306871807    9.904023052800785e-06      
Lambda        AB|CNIa02|SDSS_g                      4704.629695072531    All      -0.0006373868861508915     -0.00010224156897660478    -0.003437186708891348      2.092857917139153e-05      
MWEBV         All|All|All                           All                  All      -0.8173484903409571        -4.066408330105453         0.30645617017714954        -1.0446499493323214        
Redshift      All|All|All                           All                  All      7.570970719717371          -3.510312858007758         19.24920269758248          -2.7505351166632996        
