#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7454.972301211955    All      0.4169871014789494         -0.09182653375252592      0.5629271396677095        -0.14061648765374565       
Zeropoint     AB|CNIa02|SDSS_r                      6147.544593687885    All      1.262153053446349          -0.17311169825457995      -0.2240259748808779       -0.4775101987816317        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4358.122421277196    All      -0.7088864771187526        0.6809560359194222        1.7178104427206686        0.5293754213976894         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5452.240434012387    All      0.649506319038269          0.402584218141655         0.5877058830811351        -0.05420403743143275       
Zeropoint     AB|CNIa02|SDSS_g                      4704.629695072531    All      -0.6197056451696273        0.1789189395144497        -2.64603896048351         0.14205773521102155        
Check         All|All|All                           All                  All      1.0000543516751876         0.9975209615684211        -0.0016214698948746609    -0.0008975672580991412     
Lambda        AB|CNIa02|SDSS_i                      7454.972301211955    All      -0.00010368870242335576    3.976583507830467e-05     -0.0001616853736589603    3.9512586746053054e-05     
Lambda        AB|CNIa02|SDSS_r                      6147.544593687885    All      -0.0001294557132679376     1.5932293975264522e-06    -0.0012732174572078637    -1.4130895430623214e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4358.122421277196    All      -0.000168224804626628      3.330054502081441e-05     -0.0003996886793328147    4.780716631232795e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5452.240434012387    All      4.738568035597339e-05      -4.597666574085964e-06    -0.0008472981961979525    -5.474371329289214e-05     
Lambda        AB|CNIa02|SDSS_g                      4704.629695072531    All      -0.0004364784142708984     0.00012108049167953912    -0.0020353370462705485    9.07875344010985e-05       
MWEBV         All|All|All                           All                  All      -0.9043887093682015        -4.078884641918279        0.159294489055            -1.0269291816122288        
Redshift      All|All|All                           All                  All      6.9551741273074565         -1.5151103212737826       10.915963520320124        -2.2719209922792776        
