#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5998.827374193875     All      1.3997880111871455        0.3002094657063026        0.9175530670368859        -0.3172227281097034        
Zeropoint     AB|PS|PS_g                3899.9950236278924    All      -0.6187576494120751       0.44220266990819823       -0.4254179926312496       0.3266052294233851         
Zeropoint     AB|PS|PS_r                4952.728925269761     All      -0.43771948050430876      0.5683829061501555        0.2855922596445015        0.34046531798884727        
Zeropoint     AB|PS|PS_z                6894.116407771563     All      0.6481785715216224        -0.313039218439215        -0.8320752858611002       -0.35023195574065413       
Check         All|All|All               All                   All      0.9914894527923838        0.9977558233254413        -0.054347951810962414     -0.00038413643812518217    
Lambda        AB|PS|PS_i                5998.827374193875     All      -0.0002500622481194585    8.442847989587166e-06     -0.0009078651700242685    4.368976150349214e-05      
Lambda        AB|PS|PS_g                3899.9950236278924    All      -0.0008171925663585941    0.0005549766363059103     -0.0007156220190891852    0.0004150257283548163      
Lambda        AB|PS|PS_r                4952.728925269761     All      -9.787586060429969e-05    3.4537964364074894e-07    -0.0007589212199838877    -1.8732791172156938e-06    
Lambda        AB|PS|PS_z                6894.116407771563     All      -0.0006178950777616193    0.0002515087600847252     0.00016833912288534897    0.0002907056344239861      
MWEBV         All|All|All               All                   All      -0.48410718121467866      -3.0659396104509185       -0.0018427842248869286    -0.8410699969625568        
Redshift      All|All|All               All                   All      5.449859385222167         -2.326790786142041        1.1996306370334886        -2.4795767993780524        
