#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_z          6319.7340666661585    All      0.7597774764059994         0.1121337371607467        -0.39595241929528885      -0.22862841064778738       
Zeropoint     AB|DECam|DECam_g          3339.9872451672168    All      -0.6591407471321274        0.18838615884355647       -0.6516726906317123       0.24698623692480112        
Zeropoint     AB|DECam|DECam_r          4439.091173639934     All      0.31077698251169866        0.4909170741017377        1.5392506256371372        0.12736724016362438        
Zeropoint     AB|DECam|DECam_i          5392.941322835815     All      0.5816210481337285         0.20635397958805868       -0.49567024784017993      -0.14435631677517086       
Check         All|All|All               All                   All      0.993034759919299          0.9977909496940995        -0.004044732130043804     0.001368749665467267       
Lambda        AB|DECam|DECam_z          6319.7340666661585    All      -0.00026575030160529665    -5.239954589001849e-05    -0.0005598586056076542    4.451144193714317e-05      
Lambda        AB|DECam|DECam_g          3339.9872451672168    All      -0.0011659179416965237     0.0002855965710195793     -0.0016046442164855642    0.00040119812868325103     
Lambda        AB|DECam|DECam_r          4439.091173639934     All      -0.00021260971786669404    -0.0001839496387549549    -0.0012436783870401179    -4.6164123750083715e-05    
Lambda        AB|DECam|DECam_i          5392.941322835815     All      9.416156747635377e-05      3.4797948594265724e-05    -0.0007293417345963868    -5.1883855544558e-05       
MWEBV         All|All|All               All                   All      -0.5638296553368403        -2.413743938003776        -0.24956157824171354      -0.6137147292788439        
Redshift      All|All|All               All                   All      2.8534717773201397         0.8252931027806554        -0.17526573339339768      -0.6684658241089184        
