#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4667.584630092291     All      0.7831070316371942         0.5291442833103233        1.2329133649941841         -0.027704761342888483      
Zeropoint     AB|SDSS|SDSS_z            6729.579893883512     All      0.16980073469043644        0.027265059333636543      0.21804320552028383        -0.03669829192199381       
Zeropoint     AB|SDSS|SDSS_i            5660.26217469474      All      1.1951497645851465         0.17746068005290994       -0.5021306753772006        -0.3539026016478545        
Zeropoint     AB|SDSS|SDSS_g            3572.0370825033847    All      -1.1503076129154217        0.265166848587306         -0.9387661427733618        0.4191737784829893         
Check         All|All|All               All                   All      0.9977499179973555         0.9990368712841757        0.01005975236390566        0.0008681235702525658      
Lambda        AB|SDSS|SDSS_r            4667.584630092291     All      -0.00017334628676168173    -0.0001197552853808094    -0.001033845450823368      -2.8679421948511112e-05    
Lambda        AB|SDSS|SDSS_z            6729.579893883512     All      -0.00010363631966520581    -2.042213943276141e-05    -0.00018030606268533395    1.905936470506634e-05      
Lambda        AB|SDSS|SDSS_i            5660.26217469474      All      -0.00022907922664783595    -1.697100684908827e-05    0.000311556301679368       8.299395215922512e-05      
Lambda        AB|SDSS|SDSS_g            3572.0370825033847    All      -0.0017754263924526859     0.0005547580321532009     -0.00048111639692977363    0.0007375477127773642      
MWEBV         All|All|All               All                   All      -0.5963757457952892        -2.7839114042301105       -0.05127366487918256       -0.7148404399098598        
Redshift      All|All|All               All                   All      8.117236221431435          0.4249394905206927        1.1096213880945018         -2.456116808059217         
