#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4667.584630092291     All      0.7525482026959408         0.5058015653782277         0.8925155403186068         -0.040544628108815615      
Zeropoint     AB|SDSS|SDSS_z            6729.579893883512     All      0.19484774394719098        0.03235721865575414        0.24592105821676472        -0.04195418251327039       
Zeropoint     AB|SDSS|SDSS_i            5660.26217469474      All      1.1157625668467885         0.1590941850091454         -0.6698565140727686        -0.3415109851028053        
Zeropoint     AB|SDSS|SDSS_g            3572.0370825033847    All      -1.065374245657825         0.3017232582866569         -0.46169024500159517       0.42470551803884804        
Check         All|All|All               All                   All      0.9977842678320951         0.9989762273297842         0.006889839461007741       0.0006957223139567592      
Lambda        AB|SDSS|SDSS_r            4667.584630092291     All      -0.00023450872116942536    -0.00012737185651445554    -0.0012528549474798917     -2.1011160635105985e-05    
Lambda        AB|SDSS|SDSS_z            6729.579893883512     All      -8.454782822885979e-05     -1.5931004467988463e-05    -0.00013715105687562827    1.623033516902614e-05      
Lambda        AB|SDSS|SDSS_i            5660.26217469474      All      -0.000243250960130781      -4.3036319548161104e-05    1.6604206921715228e-06     6.52905922532402e-05       
Lambda        AB|SDSS|SDSS_g            3572.0370825033847    All      -0.0021164709650761918     0.0004421847945799375      -0.0024759327480643177     0.000722948851195869       
MWEBV         All|All|All               All                   All      -0.5756423061825546        -2.7751213553035115        0.07190624842560088        -0.7132338413963027        
Redshift      All|All|All               All                   All      8.687223610272454          0.5760417242751004         4.509336714973874          -2.4408478032722907        
