#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5374.94655170073     All      4.154984047124763         -0.31350984814828564       0.3748351913218912        -1.438808297740049         
Zeropoint     AB|CNIa02|SDSS_g                      4637.934343249381    All      -3.1574594040365103       1.3166934407858655         -0.37326270689839003      1.440721776539836          
Check         All|All|All                           All                  All      0.9975246430882534        1.0031835926375798         0.0015724844235011637     0.0019134787997869829      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5374.94655170073     All      0.0005364279001158801     -4.974058134987842e-05     -7.804855797727617e-05    -0.00019441730746209946    
Lambda        AB|CNIa02|SDSS_g                      4637.934343249381    All      -9.630551974029982e-05    -0.00013672707025351054    -0.0019285128621316643    -9.922730052939699e-05     
MWEBV         All|All|All                           All                  All      -0.86637230321996         -4.020931721124477         0.006398267580050321      -1.0272582590378012        
Redshift      All|All|All                           All                  All      -1.3152137971009186       0.7681609805234579         -2.551168975753714        0.5647767517739797         
