#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5374.94655170073     All      4.140047002203053         -0.30548170666122587       0.2958066773840029        -1.4348544606067333        
Zeropoint     AB|CNIa02|SDSS_g                      4637.934343249381    All      -3.142579974746675        1.308756598806049          -0.29252916428244014      1.436892533565482          
Check         All|All|All                           All                  All      0.9974670274563784        1.0032748921448231         0.003277513101562768      0.0020380729587488045      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5374.94655170073     All      0.00036031726410609623    -5.0422216987359076e-05    -0.0003507483623666479    -0.00014944365040315508    
Lambda        AB|CNIa02|SDSS_g                      4637.934343249381    All      9.632386734226755e-05     -0.00021819955186966702    -0.0019332031951532528    -0.00018872060486903268    
MWEBV         All|All|All                           All                  All      -0.8671577382327342       -4.020161801656474         0.01047426866931378       -1.026569735705552         
Redshift      All|All|All                           All                  All      -1.2211701750845547       1.0703486246335103         -2.246184602361012        0.6461861593467774         
