#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7430.995115601456    All      0.07252768918828012        -0.000784435101408576      0.05712764694616457        -0.021330826272985062     
Zeropoint     AB|SDSS|SDSS_g            3944.34578850241     All      -1.1453614650345756        0.5392396358121943         -0.6360521311839396        0.5203459149428568        
Zeropoint     AB|SDSS|SDSS_r            5154.080809620392    All      0.9332257631817547         0.5474091880500964         1.1542906292970168         -0.07416246218826285      
Zeropoint     AB|SDSS|SDSS_i            6250.223823244852    All      1.135320007908356          -0.08759841586005734       -0.5848149445526252        -0.4244423684599749       
Check         All|All|All               All                  All      0.9957119952438149         0.9982659729008247         -0.009448799493383397      0.00041025802163396907    
Lambda        AB|SDSS|SDSS_z            7430.995115601456    All      -6.6633187195817245e-06    -2.8901152457095785e-07    -3.292267697722929e-06     1.9294027753819955e-06    
Lambda        AB|SDSS|SDSS_g            3944.34578850241     All      -0.001352368383472675      0.0005351184296921503      -0.0013171991340736548     0.0005560360038425845     
Lambda        AB|SDSS|SDSS_r            5154.080809620392    All      0.0002938033941535052      0.00010738216020400456     -0.000503065371446951      -8.317302600577621e-05    
Lambda        AB|SDSS|SDSS_i            6250.223823244852    All      -0.00011068798103145008    1.3704561889683417e-05     -0.00013700933921777464    3.4404646074364294e-05    
MWEBV         All|All|All               All                  All      -0.5658809291086229        -3.2391942515744176        0.04919571656183397        -0.8685907196406591       
Redshift      All|All|All               All                  All      5.51719713077132           0.24811252123360106        -1.1460645882816367        -1.7674578039518904       
