#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7430.995115601456    All      0.056388031206647246       -0.004169715144541897     -0.012975502870792889      -0.020304687376054648     
Zeropoint     AB|SDSS|SDSS_g            3944.34578850241     All      -1.1659937154668953        0.5295121309485395        -0.8210482897405456        0.5156424204302867        
Zeropoint     AB|SDSS|SDSS_r            5154.080809620392    All      1.043581283944866          0.5650356871729656        1.8541388175444304         -0.07313634487567207      
Zeropoint     AB|SDSS|SDSS_i            6250.223823244852    All      1.062841787015851          -0.09213185267835655      -1.023373447884332         -0.4218813687473489       
Check         All|All|All               All                  All      0.9968173867004685         0.9982462502986067        -0.003258422951239792      0.0003200194312111826     
Lambda        AB|SDSS|SDSS_z            7430.995115601456    All      -1.2111292212531112e-05    3.3946593000106987e-07    -5.8338456854461725e-06    3.7952838057413867e-06    
Lambda        AB|SDSS|SDSS_g            3944.34578850241     All      -0.0012946638042547346     0.0004739046246931989     -0.0014418474289352268     0.0005117378928937484     
Lambda        AB|SDSS|SDSS_r            5154.080809620392    All      0.0002709694461326894      8.416812914707183e-05     -0.0004350795140097541     -8.026293498532701e-05    
Lambda        AB|SDSS|SDSS_i            6250.223823244852    All      -0.00029917756223214655    -1.370402771448123e-06    -0.000203612167011616      8.791931354400881e-05     
MWEBV         All|All|All               All                  All      -0.5637283786910117        -3.236682776880606        0.07977358043071633        -0.8671092565702236       
Redshift      All|All|All               All                  All      5.595947368967223          0.011382638127699352      -2.8172100844425194        -1.9447956066476055       
